,Title,Cast,Director,Release Date,Running Time,Country,Production Company,IMDb Score,Genre,Description,Box Office,Wins_Nominations,IMDb Votes,Rated,Type
121,First Match,"Elvire Emanuelle, Yahya Abdul-Mateen II, Colman Domingo",Olivia Newman,"['March 12, 2018 ', 'March 30, 2018 ']",102 minutes,United States,Clubhouse Pictures,6.4,"Drama, Sport","Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys' wrestling team is the only way back to her estranged father.",,2 wins & 1 nomination,"2,481",TV-MA,movie
122,6 Balloons,"Abbi Jacobson, Dave Franco, Charlotte Carel",Marja-Lewis Ryan,"['March 12, 2018 ', 'April 6, 2018 ']",74 minutes,United States,"['Campfire', 'Free Association']",5.9,Drama,A woman (Jacobson) learns her brother (Franco) has relapsed on heroin.,,1 nomination,"4,407",TV-MA,movie
123,Amateur,"Isabelle Huppert, Martin Donovan, Elina Löwensohn",Ryan Koo,,96 minutes,"United States, United Kingdom, France","['Mandalay Pictures', 'Netflix']",6.8,"Comedy, Crime, Drama","An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.",,1 win & 2 nominations,"6,832",R,movie
124,Come Sunday,"Chiwetel Ejiofor, Gerard Catus, Allie McCulloch",Joshua Marston,"['January 21, 2018 ', 'April 13, 2018 ']",106 minutes,United States,"['Apparatus Productions', 'Endgame Entertainment', 'This American Life']",6.0,"Biography, Drama",Evangelist Carlton Pearson is ostracized by his church for preaching that there is no Hell.,,N/A,"2,465",TV-14,movie
125,I Am Not an Easy Man,"Vincent Elbaz, Marie-Sophie Ferdane, Pierre Benezit",Éléonore Pourriat,,98 minutes,France,"['Autopilot Entertainment', 'Film Invaders', 'LOVEMYTV', 'MademoiselleFilms']",6.3,"Comedy, Fantasy, Romance",A shameless chauvinist gets a taste of his own medicine when he wakes up in a world dominated by women and locks horns with a powerful female author.,,1 win,"15,472",N/A,movie
126,Dude,"Lucy Hale, Kathryn Prescott, Alexandra Shipp",Olivia Milch,,97 minutes,United States,"['June Pictures', 'Mosaic Media Group', 'RadicalMedia', 'Puny Voice']",5.1,"Comedy, Drama",A group of teenage girlfriends deal with their impending graduation from high school.,,N/A,"7,477",TV-MA,movie
127,Candy Jar,"Jacob Latimore, Sami Gayle, Tom Bergeron",Ben Shelton,,92 minutes,United States,Netflix,5.8,Comedy,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,,N/A,"5,444",TV-14,movie
128,The Week Of,"Adam Sandler, Chris Rock, Steve Buscemi",Robert Smigel,,116 minutes,United States,Happy Madison Productions,5.2,Comedy,"Two fathers with opposing personalities come together to celebrate the wedding of their children. They are forced to spend the longest week of their lives together, and the big day cannot come soon enough.",,N/A,"23,900",TV-14,movie
129,Sometimes,"Prakash Raj, Ashok Selvan, Nassar",Priyadarshan,,92 minutes,India,Think Big Studios Prabhu Deva Studios,7.2,Drama,"Seven People anxiously wait for their HIV results in a clinic, bribe a clinical staff to know their results in advance. What is the result ?",,3 wins,904,TV-14,movie
130,Forgive Us Our Debts,"Claudio Santamaria, Marco Giallini, Jerzy Stuhr",Antonio Morabito,,104 minutes,"Italy, Switzerland, Albania, Poland","['La Luna', 'Peacock Film GmbH', 'Lotus Production', 'Leone Film Group', 'Rai Cinema', 'Netflix']",6.2,Drama,A man struggling under the crushing weight of debt must work as a tax collector to pay off his creditors.,,N/A,"1,692",TV-MA,movie
131,The Kissing Booth,"Joey King, Jacob Elordi, Joel Courtney",Vince Marcello,,105 minutes,"United Kingdom, United States",Komixx Entertainment,5.9,"Comedy, Romance",A high school student is forced to confront her secret crush at a kissing booth.,,1 win & 2 nominations,"90,004",TV-14,movie
132,Cargo,"Simone Landers, Martin Freeman, Marlee Jane McPherson-Dobbins","['Ben Howling', 'Yolanda Ramke']","['6 October 2017 ', '18 May 2018 ']",105 minutes,Australia,"['Umbrella Entertainment', 'Addictive Pictures', 'Causeway Films', 'Head Gear Films']",6.3,"Drama, Horror, Sci-Fi","After an epidemic spreads all over Australia, a father searches for someone willing to protect his daughter.",,1 win & 17 nominations,"46,733",TV-MA,movie
133,Ibiza,"Gwen Elizabeth Duchon, Gillian Jacobs, Michaela Watkins",Alex Richanbach,,94 minutes,United States,"['Gary Sanchez Productions', 'Good Universe']",5.2,"Comedy, Romance",A young American woman and her two best friends seek out a hot DJ in Spain.,,N/A,"18,583",TV-MA,movie
134,Sara's Notebook,"Belén Rueda, Marian Álvarez, Iván Mendes",Norberto López Amado,"['January 31, 2018 ', 'February 2, 2018 ']",115 minutes,Spain,,5.9,"Adventure, Drama, Mystery",A Spanish woman travels to darkest heart of Africa looking for her long-time missed younger sister.,,1 win,"2,866",TV-MA,movie
