,Title,Cast,Director,Release Date,Running Time,Country,Production Company,IMDb Score,Genre,Description,Box Office,Wins_Nominations,IMDb Votes,Rated,Type
863,You People,"Jonah Hill, Lauren London, Eddie Murphy",Kenya Barris,"['January 20, 2023 ', 'January 27, 2023 ']",118 minutes,United States,"['Khalabo Ink Society', 'Strong Baby', 'Misher Films']",5.5,"Comedy, Romance","Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences.",,N/A,"59,645",R,movie
864,True Spirit,"Alyla Browne, Teagan Croft, Cliff Curtis",Sarah Spillane,"['26 January 2023 ', '3 February 2023 ']",109 minutes,"Australia, United States","['Resonate Entertainment', 'The Rebel Fleet', 'Sunstar Entertainment', 'Martin Chase Productions']",6.8,"Adventure, Biography, Drama","The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo, non-stop around the world.",,N/A,"8,527",TV-PG,movie
865,Infiesto,"Isak Férriz, Iria del Río, Antonio Buíl",,,96 minutes,Spain,Vaca Films,5.6,"Crime, Drama, Thriller","Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work.",,N/A,"3,955",TV-MA,movie
866,Your Place or Mine,"Reese Witherspoon, Ashton Kutcher, Zoe Chao",Aline Brosh McKenna,,111 minutes,United States,"['Aggregate Films', 'Lean Machine', 'Hello Sunshine']",5.7,"Comedy, Romance",Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,,N/A,"35,596",PG-13,movie
867,Unlocked,"Noomi Rapace, Orlando Bloom, Toni Collette",Kim Tae-joon,,117 minutes,"Czech Republic, Switzerland, United Kingdom, United States, France",Studio N Mizifilm,6.3,"Action, Thriller",A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.,,N/A,"37,689",R,movie
868,The Strays,"Ashley Madekwe, Bukky Bakray, Jorden Myrie",Nathaniel Martello-White,,100 minutes,United Kingdom,"['Air Street Films', 'The Bureau']",4.8,"Drama, Thriller",A woman's meticulously-crafted life of privilege unravels when two strangers show up in her quaint suburban town.,,N/A,"10,792",TV-MA,movie
869,We Have a Ghost,"Jahi Di'Allo Winston, David Harbour, Anthony Mackie",Christopher Landon,,127 minutes,United States,"['Temple Hill Entertainment', 'Halsted Pictures']",6.1,"Adventure, Comedy, Family","Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest's past, they become a target of the CIA.",,N/A,"29,422",PG-13,movie
870,Love at First Kiss,"Bo Sellers, Darya Balyura, Amy Vorpahl",Alauda Ruiz de Azúa,,96 minutes,N/A,['Zeta Studios'],5.1,"Reality-TV, Romance","Love at First Kiss breaks singles' boundaries by having them go beyond their comfort zones and kiss a total stranger, without introduction, to find out if one kiss can lead to everlasting love. If either of the pair feels a spark ...",,N/A,52,N/A,series
871,Have a Nice Day!,"Andrea Chaparro, Eduardo de la Peña, Álvaro Guerrero",Yibrán Asuad,,93 minutes,Mexico,,5.3,"Comedy, Drama","A retired radio host bags groceries to earn money to attend his former employer's anniversary party, where he hopes to reunite with the love of his life.",,N/A,224,N/A,movie
872,Luther: The Fallen Sun,"Idris Elba, Cynthia Erivo, Andy Serkis",Jamie Payne,"['24 February 2023 ', '10 March 2023 ']",129 minutes,"United Kingdom, United States","['BBC Film', 'Chernin Entertainment']",6.4,"Crime, Drama, Mystery",Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.,,N/A,"58,066",R,movie
873,The Magician's Elephant,"Noah Jupe, Mandy Patinkin, Brian Tyree Henry",Wendy Rogers,,100 minutes,"United States, Australia",Pistor Productions,6.5,"Animation, Adventure, Comedy",An orphaned boy is told by a fortune teller that an elephant will help him find his lost sister.,,N/A,"4,966",PG,movie
874,Chor Nikal Ke Bhaga,"Yami Gautam, Sunny Kaushal, Sharad Kelkar",Ajay Singh,,110 minutes,India,Maddock Films,7.5,"Crime, Drama, Thriller","A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation.",,N/A,"51,275",TV-MA,movie
875,Kill Boksoon,"Lee Jae-wook, Jeon Do-yeon, Lorna Duyn",Byun Sung-hyun,"['February 18, 2023 ', 'March 31, 2023 ']",137 minutes,South Korea,See At Film,6.6,"Action, Thriller",A single mother who is a renowned hired killer finds it difficult to achieve a balance between her personal and work life.,,N/A,"10,402",TV-MA,movie
876,Murder Mystery 2,"Adam Sandler, Jennifer Aniston, Mark Strong",Jeremy Garelick,,89 minutes,United States,"['Happy Madison Productions', 'Echo Films', 'Mythology Entertainment', 'Vinson Films', 'Endgame Entertainment']",5.7,"Action, Comedy, Crime","Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja, is kidnapped at his own lavish wedding.",,1 win,"61,044",PG-13,movie
877,Chupa,"Demián Bichir, Christian Slater, Evan Whitten",Jonás Cuarón,,95 minutes,"United States, Mexico",26th Street Pictures,5.5,"Action, Adventure, Drama","While visiting family in Mexico, teenage Alex gains an unlikely companion when he discovers a young chupacabra hiding in his grandpa's shed. To save the mythical creature, Alex and his cousins must embark on the adventure of a lif...",,N/A,"6,619",PG,movie
878,A Tourist's Guide to Love,"Rachael Leigh Cook, Scott Ly, Ben Feldman",Steven K. Tsuchida,,96 minutes,United States,"['Muse Entertainment', 'Head First', ""Ben's Sister Production""]",5.7,"Adventure, Comedy, Romance","An executive goes through an unexpected breakup, then accepting an assignment to go undercover and learn about the tourist industry in Vietnam.",,N/A,"5,961",TV-PG,movie
879,The Mother,"Jennifer Lopez, Lucy Paez, Omari Hardwick",Niki Caro,,118 minutes,United States,"['Nuyorican Productions', 'Vertigo Entertainment']",5.6,"Action, Thriller","While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.",,N/A,"42,527",R,movie
880,Fanfic,"Alin Szewczyk, Jan Cieciara, Dobromir Dymecki",Marta Karwowska,,95 minutes,Poland,Orphan Studio,5.7,Drama,Two high school students form an intense connection as they navigate the challenges of discovering and expressing their truest selves.,,N/A,889,TV-MA,movie
881,Kathal,"Ashraful Ashish, Poushal Chowdhury, Nawaf Naser",Yashowardhan Mishra,,115 minutes,Bangladesh,Balaji Motion Pictures Sikhya Entertainment,8.0,Comedy,Two kids get into an embarrassing situation by stealing a jack fruit. But is it possible to hide such a big jackal? What will they do with that?,,N/A,34,N/A,movie
882,Blood & Gold,"Daniel Radcliffe, Emma Watson, Rupert Grint",Peter Thorwarth,"['April 21, 2023 ', 'May 26, 2023 ']",100 minutes,"United Kingdom, United States",,7.6,"Action, Adventure, Family","As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",,Nominated for 1 Oscar. 9 wins & 39 nominations total,"574,210",PG,movie
883,Black Clover: Sword of the Wizard King,"Bryn Apprill, Tia Lynn Ballard, Steve Blum",Ayataka Tanemura,,119 minutes,Japan,Pierrot,7.4,"Animation, Action, Adventure","In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King"" to overcome adversity, prove his power, and keep his oath with his friends.",,N/A,"6,727",TV-14,movie
884,Extraction 2,,Sam Hargrave,,122 minutes,,"['Wild State', 'AGBO', 'T.G.I.M. Films']",,,,,,,,
885,The Perfect Find,"Gabrielle Union, Keith Powers, Gina Torres",Numa Perrier,"['June 14, 2023 ', 'June 23, 2023']",99 minutes,United States,"['AGC Studios', 'Confluential Films', ""I'll Have Another"", 'HR Entertainment']",5.2,"Comedy, Drama, Romance","After a high-profile firing, Jenna's fashion career comeback hits a snag when she falls for a charming, much younger coworker - who happens to be her boss's son. As sparks fly, Jenna must decide if she'll risk it all on a secret r...",,1 win,"2,524",TV-MA,movie
886,Through My Window,"Clara Galle, Julio Peña, Guillermo Lasheras",Marçal Forés,,116 minutes,Spain,"['Netflix', 'Nostromo Pictures']",5.5,"Comedy, Drama, Romance","Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",,N/A,"15,449",TV-MA,movie
887,Lust Stories 2,"Tamannaah Bhatia, Vijay Varma, Neena Gupta","['R. Balki', 'Konkona Sen Sharma', 'Amit Ravindernath Sharma', 'Sujoy Ghosh']",,132 minutes,India,RSVP Movies Flying Unicorn Entertainment,6.5,"Drama, Romance","Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories"".",,N/A,"50,410",TV-MA,movie
888,Nimona,"Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang",Nick Bruno Troy Quane,"['June 14, 2023 ', 'June 23, 2023 ', 'June 30, 2023 ']",99 minutes,United States,Annapurna Pictures,7.6,"Animation, Action, Adventure","When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.",,N/A,"31,582",PG,movie
889,The Out-Laws,"Adam Devine, Pierce Brosnan, Ellen Barkin",Tyler Spindel,,95 minutes,United States,Happy Madison Productions,5.4,"Action, Comedy, Crime","A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.",,N/A,"30,414",R,movie
890,Bird Box Barcelona,"Mario Casas, Georgina Campbell, Diego Calva","['Álex Pastor', 'David Pastor']",,112 minutes,Spain,"['Nostromo Pictures', 'Chris Morgan Productions', 'Dylan Clark Productions']",5.3,"Horror, Mystery, Sci-Fi","After an entity of mysterious origin annihilates the world's population causing those who observe it to take their lives, Sebastián and his daughter begin their own great adventure of survival in Barcelona.",,N/A,"19,848",TV-MA,movie
891,The (Almost) Legends,"Benny Emmanuel, Harold Azuara, Nora Velázquez",Ricardo Castro Velazquez,"July 13, 2023  July 19, 2023 ",96 minutes,Mexico,Alebrije Cine y Video,6.2,"Comedy, Music",A colorful Mexican town. Two half brothers. Romeo and Preciado meet again to honor their dad's memory in a car rally full of adrenaline and banda music.,,N/A,369,TV-MA,movie
892,They Cloned Tyrone,"John Boyega, Jamie Foxx, Teyonah Parris",Juel Taylor,"['June 14, 2023 ', 'July 14, 2023 ', 'July 21, 2023 ']",119 minutes,United States,MACRO Media,6.7,"Comedy, Mystery, Sci-Fi",A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.,,N/A,"29,048",R,movie
893,Happiness for Beginners,"Ellie Kemper, Luke Grimes, Nico Santos",Vicky Wight,,,United States,Cranetown Media,6.0,"Comedy, Drama, Romance","Helen signs up for a wilderness survival course, a year after getting divorced. She discovers through this experience that sometimes, you have to get really lost in order to find yourself.",,N/A,"13,395",TV-14,movie
894,Heart of Stone,"Gal Gadot, Jamie Dornan, Alia Bhatt",Tom Harper,,122 minutes,United States,"['Skydance', 'Pilot Wave', 'Mockingbird Pictures']",5.7,"Action, Crime, Thriller",An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable and dangerous weapon.,,N/A,"47,591",PG-13,movie
895,The Monkey King,"Jimmy O. Yang, Bowen Yang, Jolie Hoang-Rappaport",Anthony Stacchi,"['July 30, 2023 ', 'August 18, 2023 ']",96 minutes,"China, Hong Kong, United States","['Netflix Animation', 'Pearl Studio', 'Reel FX Animation', 'Star Overseas']",5.8,"Animation, Action, Adventure","Inspired by an epic Chinese tale, translated into an action-packed comedy, a Monkey and his magical fighting Stick battle demons, dragons, gods and the greatest adversary of all - Monkey's ego.",,N/A,"4,433",PG,movie
896,You Are So Not Invited to My Bat Mitzvah,"Idina Menzel, Jackie Sandler, Adam Sandler",Sammi Cohen,,103 minutes,United States,"['Happy Madison Productions', 'Alloy Entertainment']",6.0,Comedy,"Stacy and Lydia are BFFs who've always dreamed about having epic Bat Mitzvahs. However, things start to go comically awry when a popular boy and middle school drama threatens their friendship and their rite of passage.",,N/A,"19,084",PG-13,movie
897,The Great Seduction,"Guillermo Villegas, Pierre Louis, Yalitza Aparicio",Celso R. García,"August 23, 2023  August 30, 2023 ",94 minutes,Mexico,Pimienta Films Cuadernos de Cine,6.5,Comedy,"When a golden opportunity arises to boost the fortunes of a forgotten fishing town, its residents set out to trick their way to making it happen.",,N/A,933,TV-MA,movie
898,Friday Night Plan,,Vatsal Neelakantan,,109 minutes,,Excel Entertainment,,,,,,,,
899,El Conde,"Jaime Vadell, Gloria Münchmeyer, Alfredo Castro",Pablo Larraín,"['August 31, 2023 ', 'September 15, 2023 ']",110 minutes,Chile,Fábula,6.5,"Comedy, Fantasy, History","After living 250 years in this world, Augusto Pinochet, who is not dead but an aged vampire, decides to die once and for all.",,1 win & 1 nomination,"4,765",R,movie
900,Love at First Sight,"Haley Lu Richardson, Ben Hardy, Rob Delaney",Vanessa Caswill,,91 minutes,"United Kingdom, United States",ACE Entertainment,6.9,"Drama, Romance","Hadley and Oliver begin to fall for each other on their flight from New York to London. The probability of ever finding each other again seems impossible, but love - and London - may have a way of defying the odds.",,1 win,"17,099",PG-13,movie
901,Jaane Jaan,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma",Sujoy Ghosh,,139 minutes,India,Balaji Motion Pictures 12th Street Entertainment Kross Pictures Boundscript Miracle Pictures Northern Lights Films,7.0,"Crime, Drama, Mystery",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,,N/A,"8,774",TV-MA,movie
902,Spy Kids: Armageddon,"Connor Esterson, Everly Carganilla, Zachary Levi",Robert Rodriguez,,97 minutes,United States,"['Skydance Media', 'Spyglass Media Group', 'Troublemaker Studios']",4.3,"Action, Comedy, Family","The children of the world's greatest secret agents unwittingly help a powerful game developer unleash a computer virus that gives him control of all technology, leading them to become spies themselves to save their parents and the...",,N/A,"1,911",PG,movie
903,Love Is in the Air,"Ludivine Sagnier, Nicolas Bedos, Jonathan Cohen",Adrian Powers,,88 minutes,France,The Steve Jaggi Company,6.3,"Comedy, Romance","Antoine is a lawyer living in New York. On his way back to France for the final round of a job interview, Antoine finds himself sitting right next to his ex-girlfriend Julie. With a seven-hour flight ahead of them, they are going ...",,1 nomination,"5,202",Not Rated,movie
904,Nowhere,"James Duval, Rachel True, Nathan Bexton",Albert Pintó,,,"France, United States",Rock & Ruz,6.4,"Comedy, Drama, Sci-Fi",Follows a day in the lives of a group of Los Angeles high school students and the strange lives they lead.,,2 nominations,"9,808",R,movie
905,Reptile,"Benicio Del Toro, Justin Timberlake, Eric Bogosian",Grant Singer,"['September 7, 2023 ', 'September 22, 2023 ', 'September 29, 2023 ']",136 minutes,United States,Black Label Media,N/A,"Crime, Drama, Mystery","Nichols, a hardened New England detective unflinching in his pursuit of a case where nothing is as it seems, one that begins to dismantle the illusions in his own life.",,N/A,111,R,movie
906,Khufiya,"Tabu, Ali Fazal, Wamiqa Gabbi",Vishal Bhardwaj,,157 minutes,India,VB Films Production,N/A,"Action, Biography, Crime","Krishna Mehra who is an operative at Indian spy agency known as R&amp;AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.",,N/A,N/A,N/A,movie
907,Fair Play,"Judit Bárdos, Anna Geislerová, Roman Luknár",Chloe Domont,"['January 20, 2023 ', 'September 29, 2023 ']",113 minutes,"Czech Republic, Slovakia, Germany","['T-Street', 'Star Thrower Entertainment', 'MRC']",6.8,"Drama, Sport","The 1980s in Czechoslovakia. The young talented sprinter Anna (Judit Bárdos) is selected for the national team and starts training to qualify for the Olympic Games. As a part of the preparation she is placed in a secret ""medical p...",,1 win & 21 nominations,"1,054",N/A,movie
908,Ballerina,"Taylor Ash, Altynai Asylmuratova, Diane Baker",Lee Chung-hyun,"['October 5, 2023 ', 'October 6, 2023 ']",93 minutes,France,Climax Studio,7.3,"Documentary, Music","This documentary gives insight to the lives of five ballerinas, all at different points in their careers. Looking at the operations of the Vagonova Academy and the Mariinsky Theatre, the life of a ballerina is disclosed.",,N/A,415,Not Rated,movie
909,Old Dads,"Katrina Bowden, Rachael Harris, Bobby Cannavale",Bill Burr,,104 minutes,United States,"['All Things Comedy', 'Miramax']",N/A,Comedy,"When three best friends sell their company to a millennial, they find themselves out of step and behind the times as they hilariously struggle to navigate a changing world of culture.",,N/A,N/A,R,movie
910,Pain Hustlers,"Chris Evans, Emily Blunt, Catherine O'Hara",David Yates,"['September 11, 2023 ', 'October 20, 2023 ']",122 minutes,"United Kingdom, United States","['Grey Matter Productions', 'Wychwood Pictures']",N/A,"Crime, Drama",Liza dreams of a better life for her and her daughter so she gets a job at a bankrupt pharmacy and Liza's guts catapult the company and her into the high life not knowing that she will soon be in the middle of a criminal conspiracy.,,N/A,184,R,movie
911,Sister Death,"Aria Bedmar, Almudena Amor, Maru Valdivielso",Paco Plaza,"['5 October 2023 ', '27 October 2023 ']",,Spain,El Estudio,N/A,"Horror, Mystery","Narcisa, a novice nun with supernatural gifts, joins a school to teach young girls.",,N/A,N/A,N/A,movie
912,Nyad,"Jodie Foster, Annette Bening, Rhys Ifans","['Elizabeth Chai Vasarhelyi', 'Jimmy Chin']","['September 1, 2023 ', 'October 20, 2023 ']",120 minutes,United States,"['Black Bear Pictures', 'Mad Chance Productions']",N/A,"Biography, Drama, Sport","It tells the remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida.",,1 nomination,54,PG-13,movie
913,The Killer,"Chow Yun-Fat, Danny Lee, Sally Yeh",David Fincher,"['September 3, 2023 ', 'October 27, 2023 ', 'November 10, 2023 ']",118 minutes,Hong Kong,"['Plan B', 'Boom! Studios', 'Panic Pictures ']",7.8,"Action, Crime, Drama",A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,,2 wins & 6 nominations,"50,143",R,movie
914,Believer 2,"Han Hyo-joo, Tzi Ma, Cho Jin-woong",Baek Jong-yul,"['October 5, 2023 ', 'November 17, 2023 ']",114 minutes,South Korea,"['CJ ENM Entertainment', 'Superfiction']",N/A,"Action, Crime, Thriller",A determined detective continues his search for the truth behind Asia's largest drug organization and its elusive boss he has unfinished business with.,,N/A,N/A,TV-MA,movie
915,Rustin,"Rick Johnson, Meat Loaf, Ashley Johnson",George C. Wolfe,"['August 31, 2023 ', 'November 3, 2023 ']",106 minutes,United States,Higher Ground Productions,6.0,"Comedy, Drama","Billy Stagen is a former professional football player and present-day sheriff in his hometown, the picturesque Rustin, Alabama.",,1 win,129,PG-13,movie
916,Leo,"Joseph Fiennes, Elisabeth Shue, Sam Shepard","['Robert Marianetti', 'Robert Smigel', 'David Wachtenheim']",,102 minutes,"United Kingdom, United States","['Netflix Animation', 'Happy Madison Productions']",6.5,Drama,"A recently-released prisoner and a troubled young boy share a pen-pal relationship, both connected by their past.",,1 nomination,"1,044",R,movie
917,Family Switch,"Jennifer Garner, Emma Myers, Rita Moreno",,,,United States,"['Grey Matter Productions', 'Linden Entertainment', 'Wonderland Sound and Vision']",N/A,"Comedy, Family","When a chance encounter with an astrological reader causes the Walkers to wake up to a full body switch, can they unite to land a promotion, college interview, record deal and soccer tryout?",,N/A,N/A,PG-13,movie
918,The Archies,"Agastya Nanda, Khushi Kapoor, Suhana Khan",Zoya Akhtar,,,India,Tiger Baby Films,N/A,"Comedy, Drama, Musical","Set in the 1960s, based on Archie Comics that finds Indian actors taking on the beloved characters. An experience bursting with youth, rebellion, friendships, first loves, and everything young adult.",,N/A,N/A,N/A,movie
919,Leave the World Behind,"Steve Angello, Nikhil Chinappa, Axel Hedfors",,"['October 25, 2023 ', 'November 22, 2023 ']",,"United Kingdom, United States","['Esmail Corp', 'Higher Ground Productions', 'Red Om Films']",7.7,"Documentary, Music","A music documentary following the last tour of the band Swedish House Mafia in 2012/2013, the film tells a story of friendship and huge success.",,1 nomination,"2,302",Unrated,movie
920,Chicken Run: Dawn of the Nugget,"Thandiwe Newton, Zachary Levi, Bella Ramsey",Sam Fell,"['14 October 2023 ', '15 December 2023 ']",98 minutes,"United Kingdom, United States, France","['Aardman Animations', 'Pathé', 'StudioCanal']",N/A,"Animation, Adventure, Comedy","Having pulled off an escape from Tweedy's farm, Ginger has found a peaceful island sanctuary for the whole flock. But back on the mainland the whole of chicken-kind faces a new threat, and Ginger and her team decide to break in.",,N/A,N/A,PG,movie
921,Maestro,"Christopher Papakaliatis, Klelia Andriolatou, Maria Kavoyianni",Bradley Cooper,"['September 2, 2023 ', 'November 22, 2023 ']",129 minutes,Greece,"['Sikelia Productions', 'Amblin Entertainment', 'Lea Pictures', 'Fred Berner Films']",8.3,"Crime, Drama, Mystery","Orestes travels to a small island during the pandemic in order to set up a music festival from scratch. Confronted with the small society of the island, he will find himself involved in an extreme love story.",,N/A,"8,325",N/A,series
922,Rebel Moon,"Sofia Boutella, Cary Elwes, Charlie Hunnam",Zack Snyder,,,"United States, Hungary, Sweden, Denmark, United Kingdom","['The Stone Quarry', 'Grand Electric']",N/A,"Action, Adventure, Drama","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",,N/A,N/A,PG-13,movie
923,Society of the Snow,"Enzo Vogrincic, Rafael Federman, Esteban Bigliardi",J. A. Bayona,"['9 September 2023 ', 'December 2023']",144 minutes,"Spain, United States","['Misión de Audaces Films', 'El Arriero Films', 'Netflix']",N/A,"Adventure, Biography, Drama",The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.,,N/A,129,N/A,movie
924,Lift,"Kavin, Amritha Aiyer, Kiran Konda",,,,India,"['Genre Films', 'Hartbeat Productions', '6th & Idaho Productions']",6.6,"Drama, Horror, Mystery",A usual working day turns unusual for Guru and Harini when they get trapped in their haunted office. A patterned game unlocks a mystery and a lift is their only way out.,,N/A,"3,353",N/A,movie
925,Rebel Moon,"Sofia Boutella, Cary Elwes, Charlie Hunnam",Zack Snyder,,,"United States, Hungary, Sweden, Denmark, United Kingdom","['The Stone Quarry', 'Grand Electric']",N/A,"Action, Adventure, Drama","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",,N/A,N/A,PG-13,movie
926,"Pamela, a Love Story","Alexandra Paul, Fran Drescher, Pamela Anderson",,,112 minutes,"United Kingdom, United States",,7.2,"Documentary, Biography","Follows the life of pop culture icon Pamela Anderson, including never-before-seen archival footage and personal journals.",,Nominated for 2 Primetime Emmys. 2 nominations total,"11,884",TV-MA,movie
927,Longest Third Date,"Khani Le, Matt Robertson",,,75 minutes,United States,,6.4,"Documentary, Reality-TV","When Matt and Khani match on Hinge, sparks fly. They spontaneously fly to Costa Rica for their third date - and get stuck as the world shuts down in March 2020. An extended stay in paradise becomes the ultimate test of compatibility.",,N/A,"1,162",TV-MA,movie
928,Victim/Suspect,"Lisa Avalos, Dyanie Bermeo, Rachel de Leon",,"['January 23, 2023 ', 'May 19, 2023']",90 minutes,United States,"['Center for Investigative Reporting Studios', 'Motto Pictures']",6.9,"Documentary, Crime","Young women tell the police they've been sexually assaulted, but instead of finding justice, they're charged with the crime of making a false report, arrested, and even imprisoned by the system they believed would protect them.",,2 nominations,"1,617",R,movie
929,Take Care of Maya,N/A,Henry Roosevelt,"['June 10, 2023 ', 'June 19, 2023 ']",103 minutes,United States,"['Story Syndicate', 'Wise Fool']",7.8,Documentary,"As a medical team tries to understand 10-year-old Maya Kowalski's rare illness, they begin to question her parents. Suddenly, Maya is in state custody - despite a family desperate to bring their daughter home.",,1 nomination,"6,730",TV-14,movie
930,Eldorado: Everything the Nazis Hate,"Eren Güvercin, Eli Otto Kappo, Antonio Lallo",Benjamin Cantu,,92 minutes,Germany,"['Film Base Berlin', 'Netflix Studios', 'The Thursday Company']",7.5,"Documentary, Drama, History",A glittery nightclub in 1920s Berlin becomes a haven for the queer community in this documentary exploring the freedoms lost amid Hitler's rise to power.,,N/A,"1,183",TV-MA,movie
931,Wham!,"Bananarama, Bono, David Bowie",Chris Smith,"['17 June 2023 ', '27 June 2023 ', '5 July 2023 ']",92 minutes,United Kingdom,"['Netflix', 'Ventureland / Passion Pictures', 'Nemperor Production', 'Library Films']",7.5,"Documentary, Biography, Music","Through archival interviews and footage, George Michael and Andrew Ridgeley relive the arc of their Wham career, from '70s best buds to '80s pop icons.",,N/A,"7,256",TV-14,movie
932,Unknown: Cave of Bones,"Lee Berger, Keneiloe Molopyane, Agusin Fuentes",,,93 minutes,United States,,6.7,Documentary,"Follows Paleo anthropologist Lee Berger in South Africa, as he and his team try to prove that the world's oldest graveyard, they found, is not human. A small brained, ape-like creature could have practiced complex burial rituals.",,N/A,"1,752",TV-PG,movie
933,The Deepest Breath,"David Attenborough, Leigh Baker, Mahmoud Barracuda",Laura McGann,"['January 22, 2023 ', 'July 19, 2023 ']",108 minutes,"Ireland, United Kingdom, United States","['Raw TV', 'Motive Pictures', 'A24', 'Ventureland']",7.7,"Documentary, Adventure, Sport","A champion and expert safety diver seemed destined for one another. Despite different paths taken, they meet at the pinnacle of the free-diving world, experiencing the thrilling rewards and inescapable risks of chasing dreams thro...",,N/A,"10,714",PG,movie
934,"Ice Cold: Murder, Coffee and Jessica Wongso",,Rob Sixsmith,,86 minutes,,Beach House Pictures,,,,,,,,
935,All Quiet on the Western Front,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer",Edward Berger,"['September 12, 2022 ', 'October 28, 2022 ']",147 minutes,"Germany, United States, United Kingdom",Amusement Park,7.8,"Action, Drama, War",A young German soldier's terrifying experiences and distress on the western front during World War I.,,Won 4 Oscars. 50 wins & 82 nominations total,"223,172",R,movie
936,A Whole Lifetime with Jamie Demetriou,"Emma Sidi, Phoebe Walsh, Alexander Owen",Andrew Gaynord,,,"United Kingdom, United States","['BBC Studios Productions', 'Guilty Party Pictures']",6.1,Comedy,"A womb with a view, awkward adulthood, the not-so-golden years. Journeying through life's stages with Jamie Demetriou in a musical sketch-comedy special.",,N/A,538,N/A,series
937,Mighty Morphin Power Rangers: Once & Always,"Walter Jones, Steve Cardenas, Catherine Sutherland",Charlie Haskell,,55 minutes,United States,"['Hasbro', 'Entertainment One', 'Power Rangers Productions Ltd.', 'Toei Company']",5.7,"Action, Adventure, Family","The Rangers come face-to-face with a familiar threat from the past. In the midst of a global crisis, they are called on once again to be the heroes the world needs.",,N/A,"6,037",TV-Y7-FV,movie
938,The Seven Deadly Sins:,"Bryce Papenbrook, Erika Harlacher, Max Mittelman","['Noriyuki Abe', 'Bob Shirahata']","['December 20, 2022 ', 'August 8, 2023 ']",52 minutes  54 minutes ,Japan,"['Alfred Imageworks', 'Marvy Jack']",7.8,"Animation, Action, Adventure","The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves.",,4 nominations,"35,989",TV-14,series
939,Choose Love,"Laura Marano, Avan Jogia, Scott Michael Foster",,,77 minutes,United States,"['DAE Light Media', 'Front Row Films', 'Netflix Studios']",5.0,"Comedy, Romance","Cami has it all, the perfect job and boyfriend but she feels that something is missing, and that feeling begins to grow when she meets Rex and an old love returns to her life.",,1 win,"2,362",TV-14,movie
940,Roald Dahl's The Wonderful Story of Henry Sugar,,Wes Anderson,"['September 1, 2023 ', 'September 20, 2023 ', 'September 27, 2023 ']",41 minutes,,"['American Empirical Pictures', 'Indian Paintbrush']",,,,,,,,
941,The Bad Guys: A Very Bad Holiday,,Bret Haaland,,22 minutes,,DreamWorks Animation Television,,,,,,,,
