,Title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Written by,Production company,Release date,Language,Countries,Story by,Spanish,Narrated by,Country of origin,Original language,Producers,Editor,Original release,Location,Associated album,Start date,End date,Legs,No. of shows,Supporting acts,Attendance,Composer,Executive producers,French,Venue,Kanji,Literal meaning,Transcriptions,Revised Hepburn,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Genre,Created by,Editors,Released,Length,Label,Producer,Executive producer,Original network,Portuguese,Animation by,Hangul,Revised Romanization,Turkish,Italian,Voices of,Original languages,No. of seasons,No. of episodes,Indonesian,German,Literally,Norwegian,Polish,Dutch,Hanja,Swedish,Music,Lyrics,Book,Basis,Productions,Composers,Camera setup,Date,Attack type,Weapon,Victim,Perpetrator,Motive,Accused,Convictions,Outcome,Sentence,McCune–Reischauer,Production locations,,Recorded,Original work,Owner,Years,Film(s),Television series,Video game(s),Toy(s),Comics,Short film(s),Web series,Animated series,Television special(s),Play(s),Novel(s),Traditional
711,Munich – The Edge of War,Christian Schwochow,Ben Power,Munich by Robert Harris,Andrew Eaton,"['George MacKay', 'Jannis Niewöhner', 'Jeremy Irons', 'Sandra Hüller', 'Liv Lisa Fries', 'August Diehl', 'Jessica Brown Findlay', 'Anjli Mohindra', 'Ulrich Matthes']",Frank Lamm,Jens Klüber,Isobel Waller-Bridge,,Netflix,"['13 October 2021 ', '14 January 2022 ', '21 January 2022 ']",131 minutes,,"['English', 'German']",,,,Turbine Studios,,,"['United Kingdom', 'Germany']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,My Father's Violin,Andaç Haznedaroğlu,,,,"['Gülizar Nisa Uray', 'Engin Altan Düzyatan', 'Belçim Bilgin']",,,,,Netflix,,,Türkiye,,,,,,['21 January 2022'],Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babamın Kemanı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Home Team,"['Charles Kinnane', 'Daniel Kinnane']",,,"['Adam Sandler', 'Kevin Grady', 'Allen Covert', 'Kevin James', 'Jeff Lowell', 'Jeff Sussman']","['Kevin James', 'Taylor Lautner', 'Rob Schneider', 'Jackie Sandler', 'Tait Blum']",Seamus Tierney,"['Tom Costain', 'Brian Robinson', 'Scott Hill']",Rupert Gregson-Williams,"['Happy Madison Productions', 'Hey Eddie Productions']",Netflix,,95 minutes,United States,,$44.6 million,,"['Chris Titone', 'Keith Blum']",,"['January 28, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Looop Lapeta,Aakash Bhatia,,Run Lola Run by Tom Tykwer,"['Tanuj Garg', 'Atul Kasbekar', 'Aayush Maheshwari']","['Taapsee Pannu', 'Tahir Raj Bhasin']",Yash Khanna,Priyank Prem Kumar,"['Rahul Pais', 'Nariman Khambata']","['Sony Pictures Films India', 'Ellipsis Entertainment']",Netflix,,131 minutes,India,,,,Dr. Vinay Chhawal Ketan Pedgaonkar Aakash Bhatia Arnav Vepa Nanduri,,['4 February 2022'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Through My Window,Marçal Forés,Eduard Sola,Through My Window by Ariana Godoy,"['Núria Valls', 'Adrián Guerra']","['Julio Peña', 'Clara Galle', 'Pilar Castro']",Elías M. Félix,Verónica Callón,,"['Netflix', 'Nostromo Pictures']",Netflix,,116 minutes,Spain,"['Spanish', 'English', 'French']",,,,,['4 February 2022'],,,,A través de mi ventana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,The Privilege,"['Felix Fuchssteiner', 'Katharina Schöne']",,,,"['Max Schimmelpfennig', 'Lise Risom Olsen', 'Caroline Hartig']",,,,,Netflix,,107 minutes,Germany,,,,"['Felix Fuchssteiner', 'Sebastian Niemann', 'Katharina Schöne', 'Eckhard Vollmar']",Bavaria Fiction,['9 February 2022'],German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Das Privileg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Into the Wind,Kristoffer Rus,,,,"['Sonia Mietielica', 'Jakub Sasak']",,,,,Netflix,,107 minutes,Poland,,,,Julian Kijowski,RE Studio,['10 February 2022'],Polish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pod wiatr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Bigbug,Jean-Pierre Jeunet,,,"['Frédéric Doniguian', 'Richard Grandpierre']","['Isabelle Nanty', 'Elsa Zylberstein', 'Claude Perron', 'Stéphane De Groodt', 'Youssef Hajdi', 'Alban Lenoir', 'François Levantal']",Thomas Hardmeier,Hervé Schneid,,Eskwad Gaumont Film Company,Netflix,,,France,,,,"['Jean-Pierre Jeunet', 'Guillaume Laurant']",,['11 February 2022'],French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Love and Leashes,Park Hyun-jin,"['Lee Da-hye', 'Park Hyeon-jin']",Webtoon Moral Sense  by Gyeoul ,,"['Seohyun', 'Lee Jun-young']",,,,,Netflix,,118 minutes,South Korea,,,,,Seed Film,"['February 11, 2022']",Korean,,,,,,,,,,,,,,,,,,,,,,,Moral Sense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Love Tactics,Emre Kabakuşak,,,,"['Demet Özdemir', 'Şükrü Özyıldız', 'Deniz Baydar', 'Özgür Ozan']",,,,,Netflix,,98 minutes,Turkey,,,,Pelin Karamehmetoğlu,,['11 February 2022'],Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aşk Taktikleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Tall Girl 2,Emily Ting,,Characters by Sam Wolfson,"['McG', 'Mary Viola', 'Corey Marsh']","['Ava Michelle', 'Griffin Gluck', 'Sabrina Carpenter', 'Anjelika Washington', 'Luke Eisner', 'Clara Wilsey', 'Rico Paris', 'Jan Luis Castellanos', 'Angela Kinsey', 'Steve Zahn']",Shane Hurlbut,Melissa Kent,Mateo Messina,,Netflix,,97 minutes,United States,,$24.4 million,,Sam Wolfson,Wonderland Sound and Vision,"['February 11, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Fistful of Vengeance,Roel Reiné,,"['John Wirth', 'Tony Krantz']",Yalun Tu,"['Iko Uwais', 'Lewis Tan', 'Lawrence Kao', 'Pearl Thusi', 'Francesca Corney', 'JuJu Chan', 'Jason Tobin', 'Rhatha Phongam', 'Simon Kuke']",Roel Reiné,Michael England,Toby Chu,,Netflix,,95 minutes,United States,,,,"['Cameron Litvack', 'Jessica Chou', 'Yalun Tu']",['Living Films'],"['February 17, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Texas Chainsaw Massacre,David Blue Garcia,Chris Thomas Devlin,"['Kim Henkel', 'Tobe Hooper']","['Fede Álvarez', 'Herbert W. Gains', 'Kim Henkel', 'Ian Henkel', 'Pat Cassidy']","['Sarah Yarkin', 'Elsie Fisher', 'Mark Burnham', 'Moe Dunford', 'Nell Hudson', 'Jessica Allain', 'Olwen Fouéré', 'Jacob Latimore', 'Alice Krige']",Ricardo Diaz,Christopher S. Capp,Colin Stetson,"['Legendary Pictures', 'Exurbia Films', 'Bad Hombre']",Netflix,,83 minutes,United States,,,,,,"['February 18, 2022']",English,,"['Fede Álvarez', 'Rodo Sayagues']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,UFO,,,,,"['İpek Filiz Yazıcı', 'Mert Ramazan Demir', 'Ferit Aktuğ']",,,,,Netflix,,109 minutes,Turkey,,,,Meryem Gültabak,,['23 February 2022'],Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,A Madea Homecoming,Tyler Perry,,,"['Mark E. Swinton', 'Will Areu', 'Michelle Sneed']","['Tyler Perry', 'Cassi Davis-Patton', 'David Mann', 'Tamela Mann', 'Gabrielle Dennis', ""Brendan O'Carroll""]",Taylor Randall,Larry Sexton,Philip White,,Netflix,,105 minutes,United States,,$20 million+,,Tyler Perry,Tyler Perry Studios,"['February 25, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Restless,Régis Blondeau,,,,"['Franck Gastambide', 'Simon Abkarian', 'Michaël Abiteboul']",,,,,Netflix,,96 minutes,France,,,,"['Régis Blondeau', 'Julien Colombani']",,['25 February 2022'],French,,,,,,,,,,,,,,,,,,,,Sans répit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Against the Ice,Peter Flinth,"['Nikolaj Coster-Waldau', 'Joe Derrick']",Two Against the Ice by Ejnar Mikkelsen,Baltasar Kormákur,"['Nikolaj Coster-Waldau', 'Joe Cole', 'Charles Dance', 'Heida Reed']",Torben Forsberg,Morten Højbjerg,Volker Bertelmann,"['RVK Studios', 'Ill Kippers Productions']",Netflix,"['February 15, 2022 ', 'March 2, 2022 ']",,,,,,,,,English,"['Iceland', 'Denmark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,The Weekend Away,Kim Farrant,Sarah Alderson,The Weekend Away by Sarah Alderson,"['Erica Steinberg', 'Charlie Morrison', 'Ben Pugh']","['Leighton Meester', 'Christina Wolfe', 'Ziad Bakri', 'Luke Norris', 'Amar Bukvić', 'Iva Mihalić', 'Adrian Pezdirc', 'Parth Thakerar']",Noah Greenberg,Sophie Corra,Daniel Wohl,,Netflix,,89 minutes,United States,,,,,42,"['March 3, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,The Invisible Thread,Marco Simon Puccioni,,,,"['Filippo Timi', 'Francesco Scianna', 'Francesco Gheghi']",,,,,,,103 minutes,Italy,,,,"['Luca De Bei', 'Marco Simon Puccioni']",,['4 March 2022'],Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Il filo invisibile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,The Adam Project,Shawn Levy,,,"['David Ellison', 'Dana Goldberg', 'Don Granger', 'Shawn Levy', 'Ryan Reynolds']","['Ryan Reynolds', 'Walker Scobell', 'Mark Ruffalo', 'Jennifer Garner', 'Catherine Keener', 'Zoe Saldaña']",Tobias Schliessler,"['Dean Zimmerman', 'Jonathan Corn']",Rob Simonsen,"['Skydance', 'Maximum Effort', '21 Laps Entertainment']",Netflix,,106 minutes,United States,,$116 million,,"['Jonathan Tropper', 'T.S. Nowlin', 'Jennifer Flackett', 'Mark Levin']",,"['March 9, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Rescued by Ruby,Katt Shea,,The Dogwink Ruby short story from the book Dogwinks by Squire Rushnell and Louise DuArt,"['Dan Angel', 'Jane Charles', 'Brian Gott']","['Grant Gustin', 'Scott Wolf', 'Kaylah Zander']",David Bercovici-Artieda,Richard Nord,Joy Ngiaw,,Netflix,,90 minutes,United States,,,,Karen Janszen,Fezziwig Studios,"['March 17, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Black Crab (Svart Krabba),Adam Berg,,,"['Malin Idevall', 'Mattias Montero']","['Noomi Rapace', 'Aliette Opheim', 'Dar Salim']",Jonas Alarik,Kristofer Nordin,Dead People,,Netflix,,114 minutes,Sweden,,,,"['Adam Berg', 'Pelle Rådström']",,['18 March 2022'],Swedish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Without Saying Goodbye,Bruno Ascenzo,,,,"['Maxi Iglesias', 'Stephanie Cayo', 'Jely Reategui']",,,,"['Netflix', 'Tondero Films']",Netflix,,96 minutes,,,,,Bruno Ascenzo,,['18 March 2022'],Spanish,"['Peru', 'Spain']",,Hasta que nos volvamos a encontrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Windfall,Charlie McDowell,"['Justin Lader', 'Andrew Kevin Walker']",,"['Jack Selby', 'Lily Collins', 'Jesse Plemons', 'Charlie McDowell', 'Jason Segel', 'Duncan Montgomery', 'Alex Orlovsky']","['Lily Collins', 'Jesse Plemons', 'Jason Segel']",Isiah Donté Lee,David Marks,"['Danny Bensi', 'Saunder Jurriaans']","['High Frequency Entertainment', 'Cloudbreak Pictures', 'Mutressa Movies']",Netflix,,92 minutes,United States,,,,,,"['March 18, 2022']",English,,"['Charlie McDowell', 'Jason Segel', 'Justin Lader', 'Andrew Kevin Walker']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,In Good Hands,Ketche,,,Timur Savcı Cemal Okan,Aslı Enver Kaan Urgancıoğlu,,,,,Netflix,,104 minutes,Turkey,,,,Hakan Bonomo,TAFF Pictures,['21 March 2022'],Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sen Yaşamaya Bak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Love Like the Falling Petals,Yoshihiro Fukagawa,,Love Like the Falling Petals by Keisuke Uyama,,"['Kento Nakajima', 'Honoka Matsumoto']",,,,,Netflix,,128 minutes,Japan,,,,Tomoko Yoshida,Toho Studios,"['March 24, 2022']",Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,All Hail,Marcos Carnevale,,,,"['Guillermo Francella', 'Norman Briski', 'Romina Fernandes']",Horacio Maira,Luis Barros,Gustavo Pomeranec,"['Infinity Hill', 'Kuarzo Entertainment Argentina', 'Leyenda Films']",Netflix,,118 minutes,Argentina,,,,"['Nicolás Giacobone', 'Fernando Balmayor']",,['30 March 2022'],Spanish,,,Granizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Apollo 10½: A Space Age Childhood,Richard Linklater,,,"['Richard Linklater', 'Tommy Pallotta', 'Mike Blizzard', 'Femke Wolting', 'Bruno Felix']","['Glen Powell', 'Zachary Levi', 'Jack Black']",Shane F. Kelly,Sandra Adair,,"['Netflix Animation', 'Minnow Mountain', 'Submarine', 'Detour Filmproduction']",Netflix,"['March 13, 2022 ', 'March 24, 2022 ']",98 minutes,United States,,,,Richard Linklater,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Battle: Freestyle,,,,,"['Lisa Teige', 'Fabian Svegaard', 'Ellen Dorrit Petersen']",,,,"['Friland Produksjon', 'Netflix Studios', 'Paasan']",Netflix,,88 minutes,Norway,,,,"['Martina Cecelia', 'Maja Lunde']",,"['April 1, 2022']",Norwegian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,The Bubble,Judd Apatow,,,['Judd Apatow'],"['Karen Gillan', 'Iris Apatow', 'Vir Das', 'Fred Armisen', 'Maria Bakalova', 'David Duchovny', 'Keegan-Michael Key', 'Leslie Mann', 'Kate McKinnon', 'Pedro Pascal', 'Peter Serafinowicz', 'Guz Khan', 'Harry Trevaldwyn']",Ben Smithard,"['Dan Schalk', 'James Thomas']","['Michael Andrews', 'Andrew Bird']",,Netflix,,124 minutes,United States,,,,"['Judd Apatow', 'Pam Brady']",Apatow Productions,"['April 1, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Cobalt Blue,,,,Priya Sreedharan Wasim Khan Zulfaquar Torabi,"['Prateik Babbar', 'Neelay Mehendale', 'Anjali Sivaraman', 'Neil Bhoopalam', 'Anant V Joshi', 'Poornima Indrajith']",Vincenzo Condorelli,Mohit Takalkar,,"['Netflix Studios', 'Open Air Film']",Netflix,,113 minutes,India,,,,Sachin Kundalkar,,['2 April 2022'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Dancing on Glass,Jota Linares,"['Jota Linares', 'Jorge Naranjo']",,,"['María Pedraza', 'Paula Losada']",,,,,Netflix,"['25 March 2022 ', '8 April 2022 ']",,Spain,,,,,Federation Spain,,Spanish,,,Las niñas de cristal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Metal Lords,Peter Sollett,,,"['Greg Shapiro', 'D.B. Weiss']","['Jaeden Martell', 'Isis Hainsworth', 'Adrian Greensmith', 'Brett Gelman', 'Noah Urrea', 'Joe Manganiello']",Anette Haellmigk,Steve Edwards,Ramin Djawadi,"['Bighead Littlehead', 'Kingsgate Productions']",Netflix,,98 minutes,United States,,$42 million,,D.B. Weiss,,"['April 8, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Yaksha: Ruthless Operations,Na Hyeon,,,,"['Sol Kyung-gu', 'Park Hae-soo', 'Hiroyuki Ikeuchi', 'Lee El', 'Song Jae-rim', 'Park Jin-young', 'Yang Dong-geun', 'Jin Kyung']",,,,Showbox Sangsang Films,Netflix,,125 minutes,South Korea,Korean Chinese Japanese,,,,,"['April 8, 2022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,The Taming of the Shrewd,Anna Wieczur-Bluszcz,,,,"['Piotr Cyrwus', 'Jan Kardasinski', 'Magdalena Lamparska']",,,,"['Bagatela Studio', 'Orient-Film']",Netflix,,112 minutes,Poland,,,,,,['13 April 2022'],Polish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poskromienie złośnicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Choose or Die,Toby Meakins,,,"['Matthew James Wilkinson', 'Sebastien Raybaud', 'John Zois']","['Iola Evans', 'Asa Butterfield', 'Angela Griffin', 'Ryan Gage', 'Joe Bolland', 'Kate Fleetwood', 'Ioanna Kimbook', 'Robert Englund', 'Eddie Marsan']",Catherine Derry,"['Tommy Boulding', 'Mark Towns']",Liam Howlett,"['Anton', 'Stigma Films']",Netflix,,84 minutes,United Kingdom,,,,Toby Meakins Simon Allen Matthew James Wilkinson,,['15 April 2022'],English,,Toby Meakins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Man of God,Bolanle Austen-Peters,Shola Dada,,"['Bolanle Austen-Peters', 'James Amuta', 'Joseph Umoibom']","['Akah Nnani', 'Osas Ighodaro', 'Jude Chukwuka', 'Dorcas Shola-Fapson', 'Ayo Mogaji']",,,,,Netflix,,111 minutes,Nigeria,,,,,BAP Productions,['16 April 2022'],English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,The Turning Point,Riccardo Antonaroli,,,,"['Andrea Lattanzi', 'Brando Pacitto', 'Ludovica Martino']",,,,,,,90 minutes,Italy,,,,"['Roberto Cimpanelli', 'Gabriele Scarfone']",,['20 April 2022'],Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La svolta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,365 Days: This Day,"['Barbara Białowąs', 'Tomasz Mandes']","['Tomasz Klimala', 'Barbara Białowąs', 'Tomasz Mandes', 'Blanka Lipińska']",Ten Dzień by Blanka Lipińska,Tomasz Mandes,"['Anna-Maria Sieklucka', 'Michele Morrone', 'Rebecca Casiraghi', 'Magdalena Lamparska']",Bartek Cierlica,Marcin Drewnowski,"['Dominic Buczkowski-Wojtaszek', 'Patryk Kumór']","['Ekipa', 'Open Mind One']",Netflix,,109 minutes,Poland,"['Polish', 'English', 'Italian', 'Spanish']",,,,,"['April 27, 2022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365 dni: Ten dzień,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Silverton Siege,,,,"['Walter Ayres', 'Mandla Dube']","['Thabo Rametsi', 'Arnold Vosloo', 'Noxolo Dlamini', 'Stefan Erasmus', 'Elani Dekker', 'Shane Wellington', 'Michelle Mosalakae', 'Deon Coetzee']",Shaun Harley Lee,,Rashid Lanie,,Netflix,,100 minutes,South Africa,"['English', 'Afrikaans', 'Zulu']",,,,Pambili Media,['27 April 2022'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Bubble,Tetsurō Araki,,,"['Tetsuya Nakatake', 'Mirai Kase']","['Jun Shison', 'Riria', 'Alice Hirose', 'Mamoru Miyano', 'Yuki Kaji', 'Tasuku Hatanaka']",Kazuhiro Yamada,Aya Hida,Hiroyuki Sawano,,"['Warner Bros. Pictures ', 'Netflix ']","['February 10, 2022 ', 'April 28, 2022 ', 'May 13, 2022 ']",100 minutes,Japan,,,"$509,309","['Gen Urobuchi', 'Naoko Sato', 'Renji Ōki']",Wit Studio,,Japanese,,,,,,,,,,,,,,,,,,,,,,,,Transcriptions Revised Hepburn Baburu,Baburu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Along for the Ride,Sofia Alvarez,Sofia Alvarez,Along for the Ride by Sarah Dessen,"['Bryan Unkeless', 'Eric Newman']","['Emma Pasarow', 'Belmont Cameli', 'Kate Bosworth', 'Dermot Mulroney', 'Andie MacDowell']",Luca Del Puppo,Justin Chan,Beach House,,Netflix,,,United States,,,,,Screen Arcade,"['May 6, 2022']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,The Takedown,Louis Leterrier,,,"['Eric Altmayer', 'Nicolas Altmayer']","['Omar Sy', 'Laurent Lafitte', 'Izïa Higelin']",Thomas Hardmeier,Vincent Tabaillon,Guillaume Roussel,,Netflix,,119 minutes,France,,,,Stéphane Kazandjian,Mandarin et Compagnie,['6 May 2022'],French,,,,,,,,,,,,,,,,,,,,Loin du périph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Thar,Raj Singh Chaudhary,,,Anil Kapoor Harshvardhan Kapoor,"['Anil Kapoor', 'Harshvardhan Kapoor', 'Fatima Sana Shaikh', 'Mukti Mohan']",Shreya Dev Dube,Aarti Bajaj,Ajay Jayanthi,,Netflix,,108 minutes,India,,,,Raj Singh Chaudhary,Anil Kapoor Films & Communication Network,['6 May 2022'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Senior Year,Alex Hardcastle,"['Andrew Knauer', 'Arthur Pielli', 'Brandon Scott Jones']",,"['Todd Garner', 'Rebel Wilson', 'Timothy M. Bourne', 'Chris Bender']","['Rebel Wilson', 'Mary Holland', 'Sam Richardson', 'Zoë Chao', 'Justin Hartley', 'Chris Parnell']",Marco Fargnoli,Sarah Lucky,Jermaine Stegall,"['Paramount Pictures', 'Paramount Players', 'Broken Road Productions', 'Camp Sugar']",Netflix,,111 minutes,United States,,,,,,"['May 13, 2022']",English,,"['Andrew Knauer', 'Arthur Pielli']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Toscana,Mehdi Avaz,,,,,,,,Rocket Road Pictures SF Studios,Netflix,,90 minutes,Denmark,,,,Mehdi Avaz,,['18 May 2022'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
