,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
681,Untold: Malice at the Palace,"A brawl broke out near the end of a game between the Indiana Pacers and the Detroit Pistons on November 19, 2004. Nearly 17 years later, we re-examine that night and all the consequences that came from it.","Documentary, Crime, Sport",Mature Audiences,movie,68,2021-01-01,Floyd Russ,"Jermaine O'Neal, Stephen Jackson, Metta World Peace",United States,Players' Tribune,1 nomination,"9,658",7.5
682,Untold: Deal with the Devil,"Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life.","Documentary, Crime, Sport",Mature Audiences,movie,77,2021-01-01,Laura Brownson,"Christy Martin, Joyce Salters, Johnny Salters",United States,Players' Tribune,1 nomination,"2,749",7.3
683,Memories of a Murderer: The Nilsen Tapes,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.,"Documentary, Biography, Crime",Mature Audiences,movie,84,2021-01-01,Michael Harte,"Douglas Bence, Bob Brenton, Mike Cattran",United Kingdom,Netflix,1 nomination,"4,096",6.3
684,Untold: Caitlyn Jenner,"After a failed attempt in 1972, Caitlyn Jenner made it her mission to win decathlon gold in Montreal in 1976.","Documentary, Sport",Parental Guidance,movie,69,2021-01-01,Crystal Moselle,"Caitlyn Jenner, Esther Jenner, Chrystie Scott",United States,Players' Tribune,1 nomination,"2,962",6.5
685,"Bob Ross: Happy Accidents, Betrayal & Greed",Bob Ross brought joy to millions as the world's most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,Documentary,Mature Audiences,movie,92,2021-01-01,Joshua Rofé,"Bob Ross, Steve Ross, Vicky Ross",United States,Netflix,1 nomination,"6,515",6.9
686,Untold: Crimes & Penalties,"They were the bad boys of hockey - a team bought by a man with mob ties, run by his 17 year old son, and with a rep for being as violent as they were good. The story of the Danbury Trashers.","Documentary, Crime, Sport",Mature Audiences,movie,85,2021-01-01,"['Chapman Way', 'Maclain Way']","Richard Brosal, James Galante, A.J. Galante",United States,Players' Tribune,1 nomination,"4,555",7.4
687,Untold: Breaking Point,Tennis star Mardy Fish's battles with anxiety and mental health.,"Documentary, Sport",Mature Audiences,movie,68,2021-01-01,"['Chapman Way', 'Maclain Way']","Mardy Fish, Kevin O'Connor, Tom Fish",United States,Players' Tribune,1 nomination,"3,394",7.6
688,Blood Brothers: Malcolm X & Muhammad Ali,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.","Documentary, Biography, History",Parental Guidance,movie,95,2021-01-01,Marcus A. Clarke,"Ilyasah Shabazz, Rahman Ali, Cornel West",United States,Khalabo Ink Society,2 nominations,"1,139",6.9
689,Schumacher,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.","Documentary, Biography, Sport",Parental Guidance,movie,112,2021-01-01,"['Hanns-Bruno Kammertöns', 'Vanessa Nöcker', 'Michael Wech']","Ross Brawn, Flavio Briatore, Luca Cordero di Montezemolo",Germany,B14 Film,,"24,470",7.4
690,Britney Vs Spears,Journalist Jenny Eliscu and filmmaker Erin Lee Carr investigate Britney Spears' fight for freedom by way of exclusive interviews and confidential evidence.,"Documentary, Biography, Music",Mature Audiences,movie,93,2021-01-01,Erin Lee Carr,"Britney Spears, Erin Lee Carr, Jenny Eliscu",United States,"['Story Syndicate', 'Carr Lot Productions']",1 nomination,"7,737",6.4
691,Convergence: Courage in a Crisis,"While Covid-19 exacerbates vulnerabilities across the world, unsung heroes in all levels of society help the tide turn toward a brighter future.",Documentary,Mature Audiences,movie,113,2021-01-01,Orlando von Einsiedel,"Tedros Adhanom Ghebreyesus, Hassan Akkad, Renata Alves","United Kingdom, United States",Grain Media,,299,6.0
692,Found,A horror-obsessed boy discovers his older brother is a serial killer.,"Drama, Horror, Thriller",Not Rated,movie,98,2021-01-01,Amanda Lipitz,"Gavin Brown, Ethan Philbeck, Phyllis Munro",United States,"['Amanda Lipitz Productions', 'Impact Partners', 'Kindred Spirit', 'Artemis Rising Foundation', 'Stick Figure Productions', 'Seesaw Productions']",25 wins & 8 nominations,"4,897",5.8
693,A Cop Movie,Two professional actors undergo an immersive process to find out what it takes to be a cop in Mexico City.,"Documentary, Action, Crime",Mature Audiences,movie,107,2021-01-01,Alonso Ruizpalacios,"Leonardo Alonso, Raúl Briones, Mónica Del Carmen",Mexico,,7 wins & 20 nominations,"2,086",7.0
694,Procession,A group of survivors of sexual abuse by Catholic priests battle for justice.,Documentary,Mature Audiences,movie,116,2021-01-01,Robert Greene,"Joe Eldred, Mike Foreman, Ed Gavagan",United States,"['4th Row Films', 'Concordia Studio', 'Artemis Rising', 'Impact Partners']",3 wins & 25 nominations,"1,363",7.1
695,14 Peaks: Nothing Is Impossible,"Fearless Nepali mountaineer Nirmal Purja embarks on a seemingly impossible quest to summit all 14 of the world's 8,000-meter peaks in seven months.","Documentary, Adventure, Sport",Mature Audiences,movie,101,2021-01-01,Torquil Jones,"Nirmal Purja, Suchi Purja, Klára Kolouchová","United Kingdom, United States",Noah Media Group,Nominated for 1 Primetime Emmy. 4 nominations total,"29,052",7.7
696,Lead Me Home,"Lead Me Home is a short film that follows several people living on the streets in West Coast cities. Conceived to be a cinematic study of contrasts, the film will be familiar and shocking; intimate and vast. By weaving individual ...","Short, Documentary",Parental Guidance,movie,39,2021-01-01,Pedro Kos Jon Shenk,,United States,Actual Films,Nominated for 1 Oscar. 1 nomination total,"4,064",6.3
697,Puff: Wonders of the Reef,A baby pufferfish travels through a wondrous microworld full of fantastical creatures as he searches for a home on the Great Barrier Reef.,"Documentary, Family",Parental Guidance,movie,62,2021-01-01,Nick Robinson,Rose Byrne,"Australia, United States",Screen Australia Screen Queensland Bioquest Studios Wild Pacific Media,4 nominations,"1,075",7.2
700,Monster Hunter: Legends of the Guild,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.","Animation, Action, Adventure",Mature Audiences,movie,58,2021-01-01,Steve Yamamoto,"Dante Basco, Erica Lindbeck, Brando Eaton","United States, Japan",['Pure Imagination Studios'],,"1,444",5.1
701,Robin Robin,"In this stop-motion short film, a bird raised by mice begins to question where she belongs and sets off on a daring journey of self-discovery.","Animation, Short, Adventure",General Audiences,movie,32,2021-01-01,Dan Ojari Mikey Please,"Bronte Carmichael, Richard E. Grant, Gillian Anderson","United Kingdom, United States",Aardman Animations,Nominated for 1 Oscar. 1 win & 6 nominations total,"6,533",7.0
702,Death to 2021,This comedic retrospective mixes archival footage and scripted sketches as it revisits all the dread and occasional delight that 2021 had to offer.,Comedy,Mature Audiences,movie,60,2021-01-01,"['Jack Clough', 'Josh Ruben']","Hugh Grant, Joe Keery, William Jackson Harper","United States, United Kingdom",Broke and Bones,,"15,537",6.3
703,Four to Dinner,"In this rom-com challenging the concept of soulmates, parallel storylines portray four single friends as they pair up in different couple combinations.","Comedy, Romance",Mature Audiences,movie,90,2022-01-01,Alessio Maria Federici,"Ilenia Pastorelli, Matilde Gioli, Giuseppe Maggio",Italy,,,"3,680",6.3
704,The Wasteland,"The tranquil lives of a family isolated from the rest of society are disturbed by a terrifying creature, testing the ties that bind them together.","Drama, Horror, Mystery",Mature Audiences,movie,92,2021-01-01,David Casademunt,"Inma Cuesta, Roberto Álamo, Alejandra Howard",Spain,"['Netflix', 'Rodar y Rodar']",,"4,652",4.6
705,How I Fell in Love with a Gangster,"A mysterious woman recounts the rise and fall of Nikodem ""Nikos"" Skotarczak, one of the biggest gangsters in Poland's history.","Crime, Drama",Mature Audiences,movie,185,2022-01-01,Maciej Kawulski,"Tomasz Wlosok, Aleks Kurdzielewicz, Antoni Królikowski",Poland,Open Mind Production,,"2,742",6.0
706,Brazen,"When her sister is killed and her double life as a webcam performer is revealed, Grace ignores the warnings of a cool-headed detective and gets involved in the case.","Crime, Drama, Mystery",Mature Audiences,movie,94,2022-01-01,Monika Mitchell,"Alyssa Milano, Sam Page, Malachi Weir",United States,"['Eponymous Production', 'Mandalay Pictures']",2 wins & 2 nominations,"13,350",4.2
707,Photocopier,"After losing her scholarship when photos of her at a party surface online, a student pairs with a photocopy worker to piece together what happened.","Crime, Drama, Mystery",Mature Audiences,movie,130,2021-01-01,Wregas Bhanuteja,"Shenina Cinnamon, Dea Panendra, Giulio Parengkuan",Indonesia,"['Rekata Studio', 'Kaninga Pictures']",14 wins & 8 nominations,"3,597",6.8
708,This Is Not a Comedy,"Gabriel, knocking 40, receives the proposal of having a child with his best friend. With a long history of failures and a city that seems against him, he decides to become a better person and reconcile with life and the cosmos.","Comedy, Drama",Not Rated,movie,105,2022-01-01,"['Rodrigo Guardiola', 'Gabriel Nuncio']","Gabriel Nuncio, Cassandra Ciangherotti, Adriana Paz",Mexico,"['Agencia Bengala', 'Panorama Global']",2 wins & 1 nomination,390,5.1
709,The Royal Treatment,"New York hairdresser Izzy seizes the chance to work at the wedding of a charming prince, but when sparks between them fly, will love or duty prevail?","Comedy, Family, Romance",Parental Guidance,movie,97,2022-01-01,Rick Jacobson,"Laura Marano, Mena Massoud, Julie Edwards",United States,Calabrian Rhode Productions,2 wins,"10,909",5.2
710,Amandla,"Years after surviving a childhood tragedy, two brothers fall on opposing sides of the law as a gang-linked crime tests their loyalty to one another.","Crime, Drama",Mature Audiences,movie,106,2022-01-01,Nerina De Jager,"Lemogang Tsipa, Thabo Rametsi, Thabiso Masoti","South Africa, Canada","['Firegrass Films', 'M4gic-J Entertainment']",2 nominations,453,5.6
711,Munich – The Edge of War,"A British diplomat travels to Munich in the run-up to World War II, where a former classmate of his from Oxford is also en route, but is working for the German government.","Biography, Drama, History",Parental Guidance,movie,131,2021-01-01,Christian Schwochow,"George MacKay, Jannis Niewöhner, Jeremy Irons","United Kingdom, United States",Turbine Studios,2 nominations,"34,512",6.8
712,My Father's Violin,"Through their shared grief and connection to music, an orphaned girl bonds with her emotionally aloof, successful violinist uncle.",Drama,Mature Audiences,movie,112,2022-01-01,Andaç Haznedaroğlu,"Engin Altan Düzyatan, Belçim Bilgin, Gülizar Nisa Uray",Turkey,,,"3,914",6.4
713,Home Team,New Orleans Saints head coach Sean Payton coaches his son's 6th-grade football team while he is being suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal.,"Comedy, Sport",Parental Guidance,movie,95,2022-01-01,"['Charles Kinnane', 'Daniel Kinnane']","Kevin James, Taylor Lautner, Rob Schneider",United States,"['Happy Madison Productions', 'Hey Eddie Productions']",,"21,160",6.0
714,Looop Lapeta,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day if only she can break out of a curious cycle of dead ends.","Action, Comedy, Crime",Mature Audiences,movie,131,2022-01-01,Aakash Bhatia,"Taapsee Pannu, Tahir Raj Bhasin, Dibyendu Bhattacharya",India,"['Sony Pictures Films India', 'Ellipsis Entertainment']",2 wins & 4 nominations,"4,986",5.2
715,Through My Window,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.","Comedy, Drama, Romance",Mature Audiences,movie,116,2022-01-01,Marçal Forés,"Clara Galle, Julio Peña, Guillermo Lasheras",Spain,"['Netflix', 'Nostromo Pictures']",,"15,449",5.5
716,The Privilege,A wealthy teen and his friends attending an elite private school uncover a dark conspiracy while looking into a series of strange supernatural events.,"Drama, Horror, Mystery",Mature Audiences,movie,107,2022-01-01,"['Felix Fuchssteiner', 'Katharina Schöne']","Max Schimmelpfennig, Lea van Acken, Tijan Marei",Germany,Bavaria Fiction,,"5,515",4.7
717,Into the Wind,"She graduated from a prestigious high school in Warsaw and entered medicine in London. He works as a kitesurfing instructor at the seaside, thanks to which he combines earning money and passion. They will meet in Hel. The unusual ...","Comedy, Drama, Romance",Mature Audiences,movie,107,2022-01-01,Kristoffer Rus,"Sonia Mietielica, Jakub Sasak, Waleria Gorobets",Poland,RE Studio,,"1,125",5.3
719,Love and Leashes,"Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain.","Comedy, Romance",Mature Audiences,movie,118,2022-01-01,Park Hyun-jin,"Seohyun, Lee Joon-young, Lee El",South Korea,Seed Film,,"5,951",6.3
720,Love Tactics,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.","Comedy, Romance",Mature Audiences,movie,98,2022-01-01,Emre Kabakuşak,"Demet Özdemir, Sükrü Özyildiz, Atakan Çelik",Turkey,,,"5,596",5.3
721,Tall Girl 2,"After Jodi Kreyman gains popularity, her miscommunications start causing rifts with those around her and now she really needs to 'stand tall'.","Comedy, Drama, Family",Parental Guidance,movie,97,2022-01-01,Emily Ting,"Ava Michelle, Griffin Gluck, Sabrina Carpenter",United States,Wonderland Sound and Vision,1 win,"5,814",4.7
722,Fistful of Vengeance,"Kai Jin, a young Chinatown chef in present day San Francisco, becomes entangled with the Chinese Triad's pursuit of deadly ancient powers known as the ""Wu Xing.","Action, Crime, Drama",Mature Audiences,movie,95,2022-01-01,Roel Reiné,"Iko Uwais, Lewis Tan, Lawrence Kao",United States,['Living Films'],1 nomination,"7,340",4.4
723,Texas Chainsaw Massacre,"After 48 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town.","Crime, Horror, Thriller",Mature Audiences,movie,83,2022-01-01,David Blue Garcia,"Sarah Yarkin, Elsie Fisher, Mark Burnham",United States,"['Legendary Pictures', 'Exurbia Films', 'Bad Hombre']",,"58,538",4.7
724,UFO,"A college student, who sees a UFO, uses his exceptional math skills to investigate the sighting with his friends while the FBI follows closely behind.","Drama, Mystery, Sci-Fi",Parental Guidance,movie,109,2018-01-01,,"Alex Sharp, Gillian Anderson, Ella Purnell",United States,,,"10,620",6.2
725,A Madea Homecoming,Madea's back hallelujer. And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,"Comedy, Drama, Romance",Mature Audiences,movie,105,2022-01-01,Tyler Perry,"Tyler Perry, Cassi Davis, David Mann",United States,Tyler Perry Studios,,"4,595",5.7
726,Restless,The story of a terminally ill teenage girl who falls for a boy who likes to attend funerals and their encounters with the ghost of a Japanese kamikaze pilot from WWII.,"Drama, Romance",Parental Guidance,movie,96,2011-01-01,Régis Blondeau,"Mia Wasikowska, Henry Hopper, Ryo Kase",United States,,1 nomination,"18,229",6.7
727,Against the Ice,"In 1909, two explorers fight to survive after they're left behind while on a Denmark expedition in ice-covered Greenland.","Adventure, Drama, History",Mature Audiences,movie,102,2022-01-01,Peter Flinth,"Nikolaj Coster-Waldau, Joe Cole, Heida Reed","Iceland, Denmark","['RVK Studios', 'Ill Kippers Productions']",1 win & 4 nominations,"26,641",6.5
728,The Weekend Away,"A weekend getaway to Croatia that goes awry when a woman is accused of killing her best friend. As she attempts to clear her name and uncover the truth, her efforts unearth a painful secret.","Crime, Drama, Mystery",Mature Audiences,movie,89,2022-01-01,Kim Farrant,"Leighton Meester, Christina Wolfe, Ziad Bakri",United States,42,1 win,"28,222",5.7
729,The Invisible Thread,A teenage son of two fathers makes a documentary about his parents but is surprised when a real-life plot twist occurs in his family.,"Comedy, Drama, Family",Not Rated,movie,103,2022-01-01,Marco Simon Puccioni,"Filippo Timi, Francesco Scianna, Francesco Gheghi",Italy,,2 wins & 6 nominations,"2,316",6.8
730,The Adam Project,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.","Action, Adventure, Comedy",Parental Guidance,movie,106,2022-01-01,Shawn Levy,"Ryan Reynolds, Walker Scobell, Mark Ruffalo",United States,"['Skydance', 'Maximum Effort', '21 Laps Entertainment']",8 nominations,"220,194",6.7
731,Rescued by Ruby,"Chasing his dream to join an elite K-9 unit, a state trooper partners with a fellow underdog: clever but naughty shelter pup Ruby.","Biography, Drama, Family",Parental Guidance,movie,90,2022-01-01,Katt Shea,"Grant Gustin, Scott Wolf, Kaylah Zander",United States,Fezziwig Studios,3 wins & 8 nominations,"10,066",7.2
734,Windfall,"A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway.","Crime, Drama, Thriller",Mature Audiences,movie,92,2022-01-01,Charlie McDowell,"Jason Segel, Lily Collins, Jesse Plemons",United States,"['High Frequency Entertainment', 'Cloudbreak Pictures', 'Mutressa Movies']",,"25,816",5.7
735,In Good Hands,"Diagnosed with terminal illness, a single mother encounters a suave bachelor as she grapples with the future of her headstrong six-years-old.","Comedy, Drama, Romance",Mature Audiences,movie,104,2022-01-01,Ketche,"Asli Enver, Kaan Urgancioglu, Mert Ege Ak",Turkey,TAFF Pictures,,"3,593",5.7
736,Love Like the Falling Petals,An aspiring photographer falls in love with a skillful hairstylist. The future stretches before them until a twist of fate threatens their romance.,"Drama, Romance",Mature Audiences,movie,128,2022-01-01,Yoshihiro Fukagawa,"Andrew Russell, Kento Nakajima, Honoka Matsumoto",Japan,Toho Studios,,722,6.5
737,All Hail,"After failing to predict a destructive hailstorm, a famous meteorologist flees to his hometown and soon finds himself on a journey of self-discovery.","Comedy, Drama",Mature Audiences,movie,118,2022-01-01,Marcos Carnevale,"Guillermo Francella, Peto Menahem, Romina Fernandes",Argentina,"['Infinity Hill', 'Kuarzo Entertainment Argentina', 'Leyenda Films']",1 nomination,"3,812",5.6
738,Apollo 10½: A Space Age Childhood,"A coming-of-age story set in the suburbs of Houston, Texas in the summer of 1969, centered around the historic Apollo 11 moon landing.","Animation, Adventure, Drama",Parental Guidance,movie,98,2022-01-01,Richard Linklater,"Milo Coy, Jack Black, Lee Eddy",United States,"['Netflix Animation', 'Minnow Mountain', 'Submarine', 'Detour Filmproduction']",1 win & 23 nominations,"11,040",7.2
739,Battle: Freestyle,"Amalie's dance crew advances to the global finals in France. Torn between the love of Mikael, the longing for her absent mother, and her fire for dance, Amalie must choose. Who is she to become?","Drama, Music, Romance",Mature Audiences,movie,88,2022-01-01,,"Lisa Teige, Fabian Svegaard Tapia, Ellen Dorrit Petersen",Norway,"['Friland Produksjon', 'Netflix Studios', 'Paasan']",,542,4.6
740,The Bubble,A group of actors and actresses stuck inside a pandemic bubble at a hotel attempt to complete a film.,Comedy,Mature Audiences,movie,124,2022-01-01,Judd Apatow,"Harry Trevaldwyn, Samson Kayo, Peter Serafinowicz",United States,Apatow Productions,2 nominations,"27,704",4.7
741,Cobalt Blue,"When a brother and sister fall in love with the same man, ensuing events shatter a traditional Marathi family. Based on Sachin Kundalkar's novel.","Drama, Romance",Mature Audiences,movie,113,2022-01-01,,"Neelay Mehendale, Joshi Anantvijay, Prateik Patil Babbar",India,"['Netflix Studios', 'Open Air Film']",,"2,317",6.5
742,Dancing on Glass,"When pressure threatens a ballerina in a new lead role, she and an outcast dancer create their own world, free from others' expectations.","Drama, Thriller",Mature Audiences,movie,137,2022-01-01,Jota Linares,"María Pedraza, Paula Losada, Ana Wagener",Spain,Federation Spain,1 win & 2 nominations,985,5.6
743,Metal Lords,Two friends try to form a heavy metal band with a cellist for a Battle of the Bands.,"Comedy, Music",Mature Audiences,movie,98,2022-01-01,Peter Sollett,"Jaeden Martell, Adrian Greensmith, Isis Hainsworth",United States,"['Bighead Littlehead', 'Kingsgate Productions']",,"31,197",6.7
744,Yaksha: Ruthless Operations,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.","Action, Crime, Thriller",Mature Audiences,movie,125,2022-01-01,Na Hyeon,"Sol Kyung-gu, Park Hae-soo, Hiroyuki Ikeuchi",South Korea,Showbox Sangsang Films,,"4,320",6.3
745,The Taming of the Shrewd,"When a heartbroken scientist moves back home to start over, her scheming brother hires a handsome stranger to convince her to sell their land.","Comedy, Romance",Mature Audiences,movie,112,2022-01-01,Anna Wieczur-Bluszcz,"Magdalena Lamparska, Mikolaj Roznerski, Piotr Cyrwus",Poland,"['Bagatela Studio', 'Orient-Film']",,"1,116",4.6
746,Choose or Die,"After firing up a lost 1980s survival horror game, a young coder unleashes a hidden curse that tears reality apart, forcing her to make terrifying decisions and face deadly consequences.","Drama, Horror, Thriller",Mature Audiences,movie,84,2022-01-01,Toby Meakins,"Iola Evans, Asa Butterfield, Robert Englund",United Kingdom,"['Anton', 'Stigma Films']",,"24,484",4.8
747,Man of God,"Exiled unjustly, convicted without trial, slandered without cause. Man of God depicts the trials and tribulations of Saint Nektarios of Aegina, as he bears the unjust hatred of his enemies while preaching the Word of God.","Biography, Drama",Not Rated,movie,111,2022-01-01,Bolanle Austen-Peters,"Aris Servetalis, Alexander Petrov, Mickey Rourke",Greece,BAP Productions,10 wins & 14 nominations,"4,008",7.0
748,The Turning Point,"When her daughter joins a ballet company, a former dancer is forced to confront her long-ago decision to give up the stage to have a family.","Drama, Music, Romance",Parental Guidance,movie,90,1977-01-01,Riccardo Antonaroli,"Anne Bancroft, Shirley MacLaine, Mikhail Baryshnikov",United States,,Nominated for 11 Oscars. 11 wins & 18 nominations total,"4,983",6.8
749,365 Days: This Day,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.,"Drama, Romance",Mature Audiences,movie,109,2022-01-01,"['Barbara Białowąs', 'Tomasz Mandes']","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna",Poland,"['Ekipa', 'Open Mind One']",1 nomination,"22,841",2.6
750,Silverton Siege,"Follows three young freedom fighters who seek refuge in a South African bank in Silverton, and take the bank and its customers hostage and would only release them in exchange for the release of Nelson Mandela.","Action, Crime, Drama",Mature Audiences,movie,100,2022-01-01,,"Thabo Rametsi, Arnold Vosloo, Noxolo Dlamini",South Africa,Pambili Media,3 nominations,"4,350",6.3
751,Bubble,"Set against the backdrop of a decaying Midwestern town, a murder becomes the focal point of three people who work in a doll factory.","Crime, Drama, Mystery",Mature Audiences,movie,100,2022-01-01,Tetsurō Araki,"Debbie Doebereiner, Omar Cowan, Dustin James Ashley",United States,Wit Studio,1 nomination,"8,316",6.5
752,Along for the Ride,"The summer before college Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on a nightly quest to help Auden experience the fun, carefree teen life she never knew she wanted.","Drama, Romance",Mature Audiences,movie,106,2022-01-01,Sofia Alvarez,"Emma Pasarow, Belmont Cameli, Laura Kariuki",United States,Screen Arcade,1 win & 1 nomination,"8,507",6.1
753,The Takedown,"Diakité and Monge are police officers who are complete opposites, and get paired together to uncover an unexpectedly big criminal case.","Action, Comedy, Crime",Mature Audiences,movie,119,2022-01-01,Louis Leterrier,"Omar Sy, Laurent Lafitte, Izïa Higelin",France,Mandarin et Compagnie,,"8,272",5.7
754,Thar,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,"Action, Crime, Drama",Mature Audiences,movie,108,2022-01-01,Raj Singh Chaudhary,"Anil Kapoor, Harshvardhan Kapoor, Fatima Sana Shaikh",India,Anil Kapoor Films & Communication Network,6 wins & 9 nominations,"7,781",6.1
755,Senior Year,"A cheerleading stunt gone wrong landed her in a 20-year coma. Now she's 37, newly awake and ready to live out her high school dream: becoming prom queen.","Comedy, Drama",Mature Audiences,movie,111,2022-01-01,Alex Hardcastle,"Rebel Wilson, Angourie Rice, Mary Holland",United States,"['Paramount Pictures', 'Paramount Players', 'Broken Road Productions', 'Camp Sugar']",2 nominations,"41,990",5.5
756,Toscana,"When a Danish chef travels to Tuscany to sell his father's business, he meets a local woman who inspires him to rethink his approach to life and love.","Drama, Romance",Mature Audiences,movie,90,2022-01-01,Mehdi Avaz,"Christopher, Cristiana Dell'Anna, Thue Ersted Rasmussen",Denmark,Rocket Road Pictures SF Studios,,"9,050",5.7
757,A Perfect Pairing,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.,"Comedy, Romance",Mature Audiences,movie,101,2022-01-01,Stuart McDonald,"Victoria Justice, Adam Demos, Luca Asta Sardelis",United States,"['DAE Light Media', 'Front Row Films', 'Hoodlum Entertainment']",,"15,728",6.1
758,F*ck Love Too,"In this romantic comedy, several friends, each dealing with unhappy love lives, turn to each other for help - but not always with the best results.","Comedy, Romance",Mature Audiences,movie,92,2022-01-01,"['Appie Boudellah', 'Aram van de Rest']","Bo Maerten, Geza Weisz, Yolanthe Cabau",Netherlands,AM Pictures,,"1,370",3.8
759,Interceptor,One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,"Action, Adventure, Drama",Mature Audiences,movie,92,2022-01-01,Matthew Reilly,"Elsa Pataky, Luke Bracey, Aaron Glenane","Australia, United States","['Ambience Entertainment', 'Foryor Entertainment']",2 nominations,"26,394",4.6
760,Hustle,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,"Comedy, Drama, Sport",Mature Audiences,movie,118,2022-01-01,Jeremiah Zagar,"Adam Sandler, Queen Latifah, Juancho Hernangomez",United States,"['Happy Madison Productions', 'Roth/Kirschenbaum Films', 'SpringHill Company']",7 nominations,"136,690",7.3
761,Centauro,"A man falls from a horse and can no longer be saved. Man and horse become one, for a short moment.","Animation, Short",Not Rated,movie,14,2017-01-01,,"Walter Jakob, Agustín Alcides Otero",Argentina,Borsalino Productions,3 nominations,12,8.1
762,Spiderhead,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.","Action, Crime, Drama",Mature Audiences,movie,107,2022-01-01,Joseph Kosinski,"Chris Hemsworth, Miles Teller, Jurnee Smollett",United States,"['Grand Electric', 'The New Yorker Studios', 'Condé Nast Entertainment', 'Screen Arcade', 'Reese Wernick Productions']",,"63,887",5.5
763,Love & Gelato,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","Drama, Romance",Mature Audiences,movie,135,2015-01-01,Brandon Camp,"Aomi Muyock, Karl Glusman, Klara Kristin","France, Belgium",GT Film,2 wins & 1 nomination,"64,022",6.1
764,Beauty,"Portrait of a closeted gay husband/father living a life of quiet middle-aged desperation who becomes fixated on a friend's handsome collegiate son, leading to an incident.",Drama,Not Rated,movie,95,2022-01-01,Andrew Dosunmu,"Deon Lotz, Charlie Keegan, Michelle Scott","South Africa, France, Germany","['Hillman Grad', 'Media Res']",5 wins & 6 nominations,"1,957",6.3
765,"Hello, Goodbye, and Everything in Between","After making a pact to break up before college, Claire and Aidan retrace the steps of their relationship on one last epic date, revisiting familiar and unexpected places as they question: stay together or say goodbye forever?","Comedy, Drama, Romance",Mature Audiences,movie,84,2022-01-01,Michael Lewen,"Jordan Fisher, Talia Ryder, Ayo Edebiri",United States,"['ACE Entertainment', 'Lionsgate']",,"3,933",5.1
766,The Sea Beast,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.","Animation, Adventure, Comedy",Parental Guidance,movie,115,2022-01-01,Chris Williams,"Karl Urban, Zaris-Angel Hator, Jared Harris","Canada, United States",Netflix Animation,Nominated for 1 Oscar. 12 nominations total,"54,696",7.0
767,Under the Amalfi Sun,"One year after Riccione, Vincenzo invites Camilla and Furio to his father's home on the mythical Amalfi Coast.","Comedy, Drama, Romance",Mature Audiences,movie,95,2022-01-01,Martina Pastori,"Lorenzo Zurzolo, Isabella Ferrari, Ludovica Martino",Italy,Lucky Red,,"1,214",5.3
