,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
54,The Killer,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,"Action, Crime, Drama",Mature Audiences,movie,111,1990-01-01,Marcelo Galvão,"Chow Yun-Fat, Danny Lee, Sally Yeh",Hong Kong,,2 wins & 6 nominations,"50,143",7.8
55,A Christmas Prince,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?","Comedy, Family, Romance",Parental Guidance,movie,92,2017-01-01,Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige",United States,MPCA,,"20,917",5.8
56,El Camino Christmas,"Eric comes to El Camino looking for his unknown dad. He's harassed, hit and jailed by a drunk local cop, who later shoots at a liquor mart with Eric +4 inside. The sheriff and deputy then shoot up the place, answering each other's...","Comedy, Crime, Western",Mature Audiences,movie,89,2017-01-01,David E. Talbert,"Dax Shepard, Kurtwood Smith, Luke Grimes",United States,Goldenlight Films Brother,,"9,969",5.7
57,Christmas Inheritance,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?","Comedy, Drama, Romance",Not Rated,movie,104,2017-01-01,Ernie Barbarash,"Eliza Taylor, Jake Lacy, Andie MacDowell","United States, Canada, Germany",MPCA,,"12,683",5.7
58,Bright,A detective must work with an Orc to find a powerful wand before evil creatures do.,"Action, Fantasy, Thriller",Mature Audiences,movie,118,2017-01-01,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace",United States,"['Overbrook Entertainment', 'Trigger Warning Entertainment', 'Grand Electric']",1 win & 7 nominations,"197,992",6.3
59,My Own Man,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood.","Documentary, Comedy, Drama",Mature Audiences,movie,82,2014-01-01,David Sampliner,,United States,"['Class 5 Films', 'Sixteen Tons Productions']",,457,6.4
60,"The Other One: The Long, Strange Trip of Bob Weir","A documentary that explores Bob Weirs life, through the Grateful Dead, Ratdog, and his childhood.","Documentary, Biography, Music",Not Rated,movie,85,2015-01-01,Mike Fleiss,"John Perry Barlow, Chuck Berry, Neal Cassady",United States,Next Entertainment,1 win,"1,765",7.3
61,Hot Girls Wanted,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,Documentary,Mature Audiences,movie,84,2015-01-01,"['Jill Bauer', 'Ronna Gradus']","Tressa Silguero, Riley Reynolds, Rachel Bernard",United States,Two to Tangle Productions,Nominated for 1 Primetime Emmy. 2 nominations total,"18,273",6.1
62,"What Happened, Miss Simone?","A documentary about the life and legend Nina Simone, an American singer, pianist, and civil rights activist labeled the ""High Priestess of Soul.""","Documentary, Biography, Music",Not Rated,movie,101,2015-01-01,Liz Garbus,"Nina Simone, Lisa Simone Kelly, Roger Nupie",United States,,Nominated for 1 Oscar. 6 wins & 19 nominations total,"14,545",7.6
63,Tig,"The personal Biography of Tig Notaro, a Stand-up comedian who was diagnosed with cancer.","Documentary, Biography",Mature Audiences,movie,95,2015-01-01,Kristina Goolsby Ashley York,"Stephanie Allynne, Zach Galifianakis, Sarah Silverman",United States,Netflix,3 nominations,"2,798",7.4
64,Keith Richards: Under the Influence,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.","Documentary, Music",Parental Guidance,movie,81,2015-01-01,Morgan Neville,"Keith Richards, Anthony DeCurtis, Steve Jordan",United States,,3 nominations,"3,572",7.1
