,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
735,Carter,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him ""Carter""?","Action, Thriller",Mature Audiences,132,2022-01-01,Jung Byung-gil,"Joo Won, Kim Bo-Min, Sung-Jae Lee",South Korea,0,No Production Company Listed,1,0,0,9500,5.1
736,Darlings,It follows the lives of two women as they find courage and love in exceptional circumstances.,"Comedy, Drama, Thriller",Mature Audiences,134,2022-01-01,Jasmeet K. Reen,"Alia Bhatt, Shefali Shah, Vijay Varma",India,0,Red Chillies Entertainment,0,11,27,20304,6.6
737,Rise of the Teenage Mutant Ninja Turtles: The Movie,"When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species.","Animation, Action, Adventure",Parental Guidance,82,2022-01-01,Andy Suriano,"Ben Schwartz, Omar Benson Miller, Brandon Mychal Smith",United States,1,Nickelodeon,0,1,1,6387,6.1
738,13: The Musical,"After his parents' divorce, Evan Goldman moves from NYC to small-town Indiana. As his 13th birthday nears, he must master the complex social circles of his new school and win friends by turning his Bar Mitzvah into the coolest par...","Comedy, Drama, Family",Parental Guidance,94,2022-01-01,Tamra Davis,"Eli Golden, Josh Peck, Debra Messing",United States,0,Zadan/Meron Productions,0,1,0,939,5.3
739,Day Shift,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.","Action, Comedy, Fantasy",Mature Audiences,114,2022-01-01,J. J. Perry,"Jamie Foxx, Dave Franco, Natasha Liu Bordizzo",United States,0,87Eleven Productions,1,0,0,86177,6.1
740,Look Both Ways,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.","Comedy, Drama, Romance",Mature Audiences,110,2022-01-01,Wanuri Kahiu,"Lili Reinhart, Danny Ramirez, Aisha Dee",United States,0,Screen Arcade,1,0,0,22655,6.3
741,The Next 365 Days,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,"Drama, Romance",Mature Audiences,113,2022-01-01,Barbara Białowąs,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna",Poland,0,Open Mind One,1,0,2,8646,2.8
742,Me Time,"When a stay-at-home dad who dedicates all his time to his children is persuaded to take time off for himself, he gets mixed up in the wild shenanigans of his childhood friend who's celebrating his 44th birthday.",Comedy,Mature Audiences,101,2022-01-01,John Hamburg,"Kevin Hart, Mark Wahlberg, Regina Hall",United States,0,Particular Pictures,1,0,0,38345,5.1
743,Seoul Vibe,The drivers of the Sanggye-dong Supreme Team become mired in the slush fund investigation of a powerful person on the very day of the 1988 Seoul Olympics opening ceremony.,"Action, Comedy, Crime",Mature Audiences,138,2022-01-01,Moon Hyun-sung,"Yoo Ah-in, Go Kyung-Pyo, Lee Kyoo-hyung",South Korea,0,Andmarq Studio,1,0,0,1952,5.5
744,I Came By,Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.,Thriller,Mature Audiences,110,2022-01-01,Babak Anvari,"Antonio Aakeel, Alicia Ambrose-Bayly, Percelle Ascott",United Kingdom,0,Film4,1,1,0,31279,6.2
745,End of the Road,"In this high-octane action thriller, a cross-country road trip becomes a highway to hell for Brenda and her family. Alone in the New Mexico desert, they have to fight for their lives when they become the targets of a mysterious ki...","Action, Crime, Drama",Mature Audiences,91,2022-01-01,Millicent Shelton,"Queen Latifah, Ludacris, Mychala Lee",United States,0,Twisted Pictures,1,1,1,8395,4.8
746,Broad Peak,"After climbing Broad Peak mountain, Maciej Berbeka learns his journey to the summit is incomplete. 25 years later, he sets out to finish what he started.","Adventure, Biography, Drama",Mature Audiences,102,2022-01-01,Leszek Dawid,"Ireneusz Czop, Maja Ostaszewska, Piotr Glowacki",Poland,1,East Studio,0,0,3,1899,6.0
747,Do Revenge,Drea and Eleanor agree to go after one another's bullies.,Comedy,Mature Audiences,119,2022-01-01,Jennifer Kaytin Robinson,"Camila Mendes, Maya Hawke, Austin Abrams",United States,0,Likely Story,1,1,4,46484,6.3
748,Drifting Home,Follows two childhood friends who drift into a mysterious sea with an entire housing complex.,"Animation, Adventure, Drama",Parental Guidance,119,2022-01-01,Hiroyasu Ishida,"Mutsumi Tamura, Asami Seto, Ayumu Murase",Japan,0,Studio Colorido,0,0,1,3425,6.3
749,Jogi,"Amid tension in 1980s India, three friends of different faiths unite in a noble yet dangerous effort to save hundreds in their town.","Drama, Thriller",Mature Audiences,116,2022-01-01,Ali Abbas Zafar,"Diljit Dosanjh, Kumud Mishra, Mohd. Zeeshan Ayyub",India,0,No Production Company Listed,1,1,2,6178,7.2
750,A Jazzman's Blues,"Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",Drama,Mature Audiences,127,2022-01-01,Tyler Perry,"Joshua Boone, Amirah Vann, Solea Pfeiffer",United States,0,Tyler Perry Studios,0,1,9,4020,6.7
751,Lou,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.","Action, Adventure, Crime",Mature Audiences,109,2022-01-01,Anna Foerster,"Allison Janney, Jurnee Smollett, Logan Marshall-Green",United States,0,Bad Robot Productions,0,1,0,31657,6.1
752,Athena,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.","Action, Drama, Thriller",Mature Audiences,99,2022-01-01,Romain Gavras,"Dali Benssalah, Sami Slimane, Anthony Bajon",France,0,Iconoclast,1,3,8,20710,6.8
753,Blonde,"The story of American actress Marilyn Monroe, covering her love and professional lives.","Drama, History",Mature Audiences,166,2022-01-01,Andrew Dominik,"Ana de Armas, Lily Fisher, Julianne Nicholson",United States,0,Plan B Entertainment,0,12,28,68566,5.5
754,Aníkúlápó,"It tells the story of Saro, a man seeking for greener pasture, but unfolding events and his affair with the king's wife, he encounters his untimely death and with Akala, a mystical bird believed to give and take life.","Drama, Fantasy",Mature Audiences,111,2022-01-01,Kunle Afolayan,"Adebowale Adedayo, Aderemi Adedeji, Bimbo Ademoye",Nigeria,0,KAP Productions,0,0,0,439,5.5
755,Plan A Plan B,"Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract.","Comedy, Romance",Mature Audiences,106,2022-01-01,Shashanka Ghosh,"Riteish Deshmukh, Tamannaah Bhatia, Poonam Dhillon",India,0,India Stories Media & Entertainment,0,1,1,2290,4.6
756,Rainbow,"Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight, a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar.","Comedy, Drama",Not Rated,118,2022-01-01,Paco León,"Hetal Gada, Krrish Chhabria, Vipin Sharma",India,0,Telecinco Cinema,1,4,5,4266,7.8
757,Jumping from High Places,"To honor her best friend's last wish, a young woman with severe anxiety confronts her greatest fears to try and reclaim her life — and perhaps find love.","Comedy, Drama, Romance",Mature Audiences,88,2022-01-01,Andrea Jublin,"Federica Torchetti, Cristiano Caccamo, Celeste Savino",Italy,0,Lotus Production,0,0,0,1052,5.7
758,Mr. Harrigan's Phone,"When Mr. Harrigan dies, Craig, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial. When the lonely youth sends his dead friend a message, he is shocked to get a return text.","Drama, Horror, Mystery",Parental Guidance,106,2022-01-01,John Lee Hancock,"Donald Sutherland, Jaeden Martell, Joe Tippett",United States,0,Blumhouse Television,1,0,0,36189,6.0
759,Luckiest Girl Alive,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.","Drama, Mystery, Thriller",Mature Audiences,113,2022-01-01,Mike Barker,"Mila Kunis, Chiara Aurelia, Finn Wittrock",United States,0,Picturestart,1,2,3,53294,6.4
760,The Curse of Bridge Hollow,"A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her fat...","Adventure, Comedy, Family",Mature Audiences,89,2022-01-01,Jeff Wadlow,"Marlon Wayans, Priah Ferguson, Kelly Rowland",United States,0,Ugly Baby Productions,0,0,0,10570,5.5
761,The School for Good and Evil,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,"Action, Comedy, Drama",Parental Guidance,147,2022-01-01,Paul Feig,"Kit Young, Sophia Anne Caruso, Cate Blanchett",United States,0,Roth/Kirschenbaum Films,1,1,0,33426,5.9
762,20th Century Girl,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.","Drama, Romance",Parental Guidance,119,2022-01-01,Bang Woo-ri,"Han Hyo-joo, Yuuki Luna, Harrison Xu",South Korea,0,Yong Film,0,0,0,7341,7.3
763,Robbing Mussolini,A Milanese wartime entrepreneur forms a band of misfits and rogues to stage an elaborate heist of a legendary treasure belonging to Benito Mussolini.,"Action, Comedy, Crime",Mature Audiences,90,2022-01-01,Renato De Maria,"Pietro Castellitto, Matilda De Angelis, Tommaso Ragno",Italy,0,No Production Company Listed,1,0,1,2390,5.4
764,The Good Nurse,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,"Biography, Crime, Drama",Mature Audiences,121,2022-01-01,Tobias Lindholm,"Eddie Redmayne, Jessica Chastain, Denise Pillott",United States,0,Protozoa Pictures,1,3,8,74143,6.8
765,All Quiet on the Western Front,A young German soldier's terrifying experiences and distress on the western front during World War I.,"Action, Drama, War",Mature Audiences,147,2022-01-01,Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer",Germany,1,Amusement Park,0,50,82,223172,7.8
766,Wendell & Wild,"Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living.","Animation, Adventure, Comedy",Parental Guidance,105,2022-01-01,Henry Selick,"Lyric Ross, Keegan-Michael Key, Jordan Peele",United States,1,Netflix,1,3,24,11685,6.4
767,Wild Is the Wind,"Racial tensions and corruption come to a head in a small, segregated town after the police find the body of a young Afrikaner girl in the bush.","Crime, Drama",Mature Audiences,123,2022-01-01,Fabian Medea,"Mothusi Magano, Frank Rautenbach, Chris Chameleon",South Africa,0,Known Associates Entertainment,0,0,0,1548,5.6
768,Falling for Christmas,"In the days leading up to Christmas, a young and newly engaged heiress experiences a skiing accident. After being diagnosed with amnesia, she finds herself in the care of the handsome lodge owner and his daughter.","Comedy, Romance",Parental Guidance,93,2022-01-01,Janeen Damian,"Lindsay Lohan, Chord Overstreet, George Young",United States,0,Motion Picture Corporation of America,1,1,0,25495,5.2
769,"Monica, O My Darling","A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be.","Comedy, Crime, Drama",Mature Audiences,129,2022-01-01,Vasan Bala,"Rajkummar Rao, Huma Qureshi, Sikandar Kher",India,0,Matchbox Shots,0,9,37,19797,7.4
770,My Father's Dragon,Elmer Elevator searches for a captive Dragon on Wild Island and finds much more than he could ever have anticipated.,"Animation, Adventure, Comedy",Parental Guidance,99,2022-01-01,Nora Twomey,"Jacob Tremblay, Golshifteh Farahani, Ian McShane",Ireland,1,Netflix,1,2,4,3172,6.5
771,The Wonder,"A tale of two strangers who transform each other's lives, a psychological thriller, and a story of love pitted against evil.","Drama, Mystery, Thriller",Mature Audiences,103,2022-01-01,Sebastián Lelio,"Florence Pugh, Tom Burke, Kíla Lord Cassidy",Ireland,1,House Productions,1,6,33,41099,6.6
772,Christmas with You,Follows a pop star who's got a career burnout and escapes to a small town where she finds not only inspiration but a shot of love.,"Comedy, Family, Romance",Parental Guidance,89,2022-01-01,Gabriela Tagliavini,"Freddie Prinze Jr., Aimee Garcia, Kyndra Sanchez",United States,0,GMT Films,0,0,0,6806,5.6
773,Slumberland,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.","Adventure, Comedy, Drama",Parental Guidance,117,2022-01-01,Francis Lawrence,"Jason Momoa, Marlow Barkley, Chris O'Dowd",United States,0,Chernin Entertainment,0,0,3,27810,6.7
774,The Swimmers,"From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use.","Biography, Drama, Sport",Parental Guidance,134,2022-01-01,Sally El-Hosaini,"Matthias Schweighöfer, Ali Suliman, James Krishna Floyd",United Kingdom,1,Working Title Films,1,0,5,33542,7.4
775,The Noel Diary,"The story of a man who returns home on Christmas to settle his estranged mother's estate. Once there, he discovers a diary that may hold secrets to his own past and of a beautiful young woman on a mysterious journey of her own.","Comedy, Drama, Romance",Mature Audiences,100,2022-01-01,Charles Shyer,"Justin Hartley, Barrett Doss, Bonnie Bedelia",United States,0,Johnson Production Group,1,0,0,16782,6.1
776,A Man of Action,"In this drama inspired by the life of Lucio Urtubia, an anarchist targets one of the world's biggest banks with an ingenious counterfeiting operations.","Biography, Crime, Drama",Mature Audiences,111,2022-01-01,Javier Ruiz Caldera,"Juan José Ballesta, Luis Callejo, Liah O'Prey",Spain,0,Ikiru Films,1,0,0,2973,6.4
777,My Name Is Vendetta,"After old enemies kill his family, a former mafia enforcer and his feisty daughter flee to Milan, where they hide out while plotting their revenge.","Action, Crime, Drama",Mature Audiences,90,2022-01-01,Cosimo Gomez,"Alessandro Gassmann, Ginevra Francesconi, Alessio Praticò",Italy,0,Colorado Film,0,0,1,5280,5.5
778,Qala,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.","Drama, Music",Mature Audiences,119,2022-01-01,Anvita Dutt,"Triptii Dimri, Babil Khan, Swastika Mukherjee",India,0,Clean Slate Filmz,0,7,24,6900,7.2
779,Troll,"Deep in the Dovre mountain, something gigantic wakes up after a thousand years in captivity. The creature destroys everything in its path and quickly approaches Oslo.","Action, Adventure, Drama",Mature Audiences,101,2022-01-01,Roar Uthaug,"Ine Marie Wilmann, Kim Falck, Mads Sjøgård Pettersen",Norway,0,Motion Blur,0,1,0,46611,5.8
780,Lady Chatterley's Lover,An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.,"Drama, Romance",Mature Audiences,127,2022-01-01,Laure de Clermont-Tonnerre,"Emma Corrin, Jack O'Connell, Matthew Duckett",United Kingdom,1,Laurence Mark Productions,1,0,2,20839,6.6
781,Scrooge: A Christmas Carol,"A supernatural, time-travelling, musical adaptation of Charles Dickens's cult Christmas story.","Animation, Adventure, Comedy",General Audiences,96,2022-01-01,Stephen Donnelly,"Luke Evans, Olivia Colman, Jessie Buckley",United Kingdom,1,Timeless Films,1,0,2,6487,6.2
782,Guillermo del Toro's Pinocchio,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Animation, Drama, Family",Parental Guidance,117,2022-01-01,Guillermo del Toro,"Ewan McGregor, David Bradley, Gregory Mann",United States,1,Netflix,1,74,124,104777,7.6
783,The Big 4,Tells the story of an elite assassin that is targeted by murderous gangsters after sparing a girl's life during a massacre.,"Action, Comedy, Crime",Mature Audiences,141,2022-01-01,Timo Tjahjanto,"Abimana Aryasatya, Putri Marino, Lutesha",Indonesia,0,Frontier Pictures,1,2,5,3255,6.1
784,"Bardo, False Chronicle of a Handful of Truths","An acclaimed journalist-turned-documentarian goes on an oneiric introspective journey to reconcile with the past, the present and his Mexican identity.","Comedy, Drama",Mature Audiences,174,2022-01-01,Alejandro G. Iñárritu,"Daniel Giménez Cacho, Griselda Siciliani, Ximena Lamadrid",Mexico,0,M Productions,1,18,42,14089,6.7
785,White Noise,An architect's desire to speak with his wife from beyond the grave becomes an obsession with supernatural repercussions.,"Drama, Horror, Mystery",Parental Guidance,136,2022-01-01,Geoffrey Sax,"Michael Keaton, Deborah Kara Unger, Ian McNeice",United Kingdom,1,NBGG Pictures,1,1,2,50213,5.5
786,Three Songs for Benazir,"Even as Shaista's love for Benazir is palpable, the choices he must make to build a life with her have profound consequences.","Documentary, Short",Mature Audiences,22,2022-01-01,Elizabeth Mirzaei,No Cast Available,United States,0,Mirzaei Films,0,14,9,2737,6.3
787,The Tinder Swindler,"Posing as a wealthy, jet-setting diamond mogul, he wooed women online, then conned them out of millions of dollars. Now some victims plan for payback.","Documentary, Crime",Mature Audiences,114,2022-01-01,Felicity Morris,"Simon Leviev, Cecilie Fjellhøy, Ayleen Charlotte",United Kingdom,0,Raw TV,0,3,13,70467,7.1
788,Downfall: The Case Against Boeing,"Examining the months since the tragedies, which caused global panic in March 2019 after two new aircrafts crashed within five months, killing 346 people.",Documentary,Parental Guidance,89,2022-01-01,Rory Kennedy,"Donald Trump, Maria Bartiromo, Lester Holt",United States,0,Imagine Documentaries,0,0,3,12849,7.4
789,Surviving Paradise: A Family Tale,"As the Kalahari Desert faces a worsening dry season, prides, packs and herds of all kinds must rely on the power of family to survive.",Documentary,Parental Guidance,78,2022-01-01,Renée Godfrey,Regé-Jean Page,United Kingdom,0,Freeborne Media,0,0,0,827,7.5
790,Trust No One: The Hunt for the Crypto King,A group of investors turned sleuths as they try to unlock the suspicious death of cryptocurrency multimillionaire Gerry Cotten and the missing $250 million they believe he stole from them.,"Documentary, Crime",Mature Audiences,90,2022-01-01,Luke Sewell,No Cast Available,United Kingdom,0,Minnow Films,0,0,0,5770,6.3
791,Return to Space,"Offering rare inside access to NASA and SpaceX, this is the thrilling story of the nearly 20 year journey to send American astronauts back to space aboard U.S. rockets, from filmmakers Elizabeth Chai Vasarhelyi and Jimmy Chin.",Documentary,Mature Audiences,128,2022-01-01,Jimmy Chin Elizabeth Chai Vasarhelyi,"Elon Musk, Bob Behnken, Douglas Hurley",United States,0,Little Monster Films,0,0,2,5455,7.3
792,White Hot: The Rise & Fall of Abercrombie & Fitch,"Abercrombie and Fitch conquered malls in the late '90s and early '00s with gorgeous models, pulsing dance beats and a fierce scent. But their ""all-American"" image shattered as exclusionary marketing and hiring practices came to li...",Documentary,Mature Audiences,88,2022-01-01,Alison Klayman,"Benjamin O'Keefe, Bobby Blanski, Ryan Daharsh",United States,0,AliKlay Productions,1,0,1,5046,5.8
793,The Mystery of Marilyn Monroe: The Unheard Tapes,Explores the mystery surrounding the death of movie icon Marilyn Monroe through previously unheard interviews with her inner circle.,"Documentary, Biography",Mature Audiences,101,2022-01-01,Emma Cooper,"Lauren Bacall, Gladys Baker, Ray Bull",United States,0,No Production Company Listed,1,0,2,5430,6.2
794,Our Father,"After a woman's at-home DNA test reveals multiple half-siblings, she discovers a shocking scheme involving donor sperm and a popular fertility doctor.","Documentary, Crime",Mature Audiences,97,2022-01-01,Lucie Jourdan,"Jacoba Ballard, Julie Harmon, Matt White",United States,0,Blumhouse Productions,0,0,1,13849,6.6
795,The Martha Mitchell Effect,The Cabinet wife who spoke out during Watergate and the Nixon administration's campaign to gaslight her into silence.,"Documentary, Short, History",Parental Guidance,40,2022-01-01,Anne Alvergue Debra McClutchy,"Martha Mitchell, Dwight Chapin, Connie Chung",United States,0,Foothill Productions,0,0,3,2726,6.6
796,Girl in the Picture,A young mother's mysterious death and her son's subsequent kidnapping blow open a decades-long mystery about the woman's true identity and the murderous federal fugitive at the center of it all.,"Documentary, Crime, Mystery",Mature Audiences,101,2022-01-01,Skye Borgman,"Karen Parsley, Charles Engles, Merle Bean",United States,0,All3Media America,0,0,0,20206,7.2
797,Stay on Board: The Leo Baker Story,"Follows celebrated competitive skating icon Leo Baker as they try to make space for themselves in the gendered world of pro sports and build a more inclusive skate culture, which leads them to doing the punkest thing imaginable.","Documentary, Sport",Mature Audiences,72,2022-01-01,Nicola Marsh,"Leo Baker, Melissa Bueno-Woerner, Alexis Sablone",United States,0,GLAAD,0,1,2,426,6.7
798,Untold: The Rise and Fall of AND1,"Inspired by New York City streetball, influential brand AND1 turned local legends on the court into international icons. So why did it come to an end?","Documentary, History, Sport",Mature Audiences,68,2022-01-01,Kevin Wilson Jr.,"Rafer Alston, Tom Austin, Seth Berger",United States,0,The Players' Tribune,0,0,0,2714,6.8
799,Untold: Operation Flagrant Foul,"Years after serving time for betting on games he officiated, former NBA referee Tim Donaghy revisits the scandal that shook up the league.","Documentary, Crime, History",Mature Audiences,76,2022-01-01,David Terry Fine,"Tim Donaghy, Matt Maltepes",United States,0,Players' Tribune,0,0,0,2311,6.8
800,Into the Deep,"When journalist Kim Wall disappears after boarding inventor Peter Madsen's submarine, his changing story about her fate masks a terrifying truth.","Documentary, Biography, Crime",Mature Audiences,90,2022-01-01,Emma Sullivan,Peter Madsen,Denmark,0,Netflix,0,0,1,3768,6.5
801,Descendant,"Follows descendants of the survivors from the Clotilda, the last ship that carried enslaved Africans to the United States, as they reclaim their story.","Documentary, History",Parental Guidance,109,2022-01-01,Margaret Brown,"Theodore Arthur, Gary Autrey, Chris Davis",United States,0,Participant,1,7,22,1315,7.1
802,Capturing the Killer Nurse,This documentary reveals how investigators proved ICU nurse Charles Cullen was killing patients — and how close he came to getting away with murder.,"Documentary, Crime",Mature Audiences,94,2022-01-01,Tim Travers Hawkins,"Charles Cullen, Amy Loughren, Donna Hargreaves",United Kingdom,0,Sandpaper Films,1,0,0,2919,6.4
803,Is That Black Enough for You?!?,"Tracks the history of Black cinema, focused mainly on the '70s, with archival and new interviews with many of the key players from the era.","Documentary, History",Mature Audiences,135,2022-01-01,Elvis Mitchell,"Elvis Mitchell, Margaret Avery, Harry Belafonte",United States,0,No Production Company Listed,1,0,4,1344,7.3
804,Ghislaine Maxwell: Filthy Rich,"From filmmakers of Jeffrey Epstein: Filthy Rich, this film goes beyond the headlines of the Ghislaine Maxwell case to tell the story of Epstein's mystery accomplice, illuminating how her class and privilege concealed her predatory...","Documentary, Crime",Mature Audiences,101,2022-01-01,Maiken Baird,"Ghislaine Maxwell, Jeffrey Epstein, Annie Farmer",United States,0,RadicalMedia,1,0,0,2469,6.0
805,"""Sr.""","Follow the tender but appropriately irreverent account of the life and career of Robert Downey Sr., the fearless and visionary American director who set the standard for countercultural comedy in the 1960s and 1970s.","Documentary, Biography",Mature Audiences,89,2022-01-01,Chris Smith,"Robert Downey Sr., Zaina Ali, Paul Thomas Anderson",United States,0,Team Downey,0,3,6,3214,7.3
806,The Elephant Whisperers,"Bomman and Bellie, a couple in South India, devote their lives to caring for an orphaned baby elephant named Raghu, forging a family like no other that tests the barrier between the human and the animal world.","Documentary, Short",Parental Guidance,39,2022-01-01,Kartiki Gonsalves,"Bellie, Bomman",India,0,Sikhya Entertainment,0,1,3,8973,7.5
807,The House,"After the town takes away their daughter's college scholarship, a couple start an illegal casino in their friend's house to make back the money.","Comedy, Crime",Mature Audiences,97,2017-01-01,Emma de Swaef,"Will Ferrell, Amy Poehler, Ryan Simpkins",United States,0,Nexus Studios,1,1,0,46064,5.6
808,Cat Burglar,Interactive Tex Avery-inspired cartoon where the viewer answers questions with a scenario about a guard dog named Peanut protecting a priceless work of art and a cat burglar named Rowdy trying to steal it from the art museum but e...,"Animation, Short, Comedy",Mature Audiences,15,2022-01-01,James Bowman,"Alan Lee, James Adomian, Trevor Devall",United Kingdom,1,Netflix,1,1,3,595,6.6
809,Entergalactic,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life.","Animation, Comedy, Music",Mature Audiences,92,2022-01-01,Fletcher Moules,"Kid Cudi, Jessica Williams, Laura Harrier",United Kingdom,1,Khalabo Ink Society,1,1,8,13790,7.3
810,The Pale Blue Eye,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar All...","Crime, Horror, Mystery",Mature Audiences,130,2022-01-01,Scott Cooper,"Christian Bale, Harry Melling, Simon McBurney",United States,0,Cross Creek Pictures,1,1,2,114550,6.6
811,Noise,A man who is being driven crazy by the noise in New York City decides to take vigilante action against it.,"Comedy, Crime, Drama",Not Rated,104,2022-01-01,Natalia Beristáin,"Tim Robbins, William Hurt, Bridget Moynahan",United States,0,Woo Films Agencia Bengala,0,0,0,4476,6.1
812,Dog Gone,Based on the true story of a father and son who repair their fractured relationship during a forced hike of the Appalachian trail to find their beloved lost dog.,"Biography, Drama, Family",Parental Guidance,95,2023-01-01,Stephen Herek,"Rob Lowe, Johnny Berchtold, Kimberly Williams-Paisley",United States,0,Blackjack Films,1,0,0,5654,6.0
813,Jung_E,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.","Action, Adventure, Drama",Mature Audiences,99,2023-01-01,Yeon Sang-ho,"Kang Soo-youn, Kim Hyun-joo, Ryu Kyung-Soo",South Korea,0,Climax Studio,0,0,0,9925,5.5
814,Mission Majnu,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","Action, Drama, History",Mature Audiences,129,2023-01-01,Shantanu Bagchi,"Sidharth Malhotra, Rashmika Mandanna, Parmeet Sethi",India,0,RSVP Movies,1,3,3,42878,7.1
815,The Price of Family,"When Alessandra and Emilio move to the city leaving their parents Carlo and Anna alone, life changes for everyone. In a few months the kids forget about their parents: a few phone calls, missed birthdays, missed funerals. But the ...",Comedy,Mature Audiences,90,2023-01-01,Giovanni Bognetti,"Christian De Sica, Angela Finocchiaro, Dharma Mangia Woods",Italy,0,Sony,0,0,0,1350,5.9
816,You People,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences.","Comedy, Romance",Mature Audiences,118,2023-01-01,Kenya Barris,"Jonah Hill, Lauren London, Eddie Murphy",United States,0,Khalabo Ink Society,1,0,0,59645,5.5
817,True Spirit,"The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo, non-stop around the world.","Adventure, Biography, Drama",Parental Guidance,109,2023-01-01,Sarah Spillane,"Alyla Browne, Teagan Croft, Cliff Curtis",Australia,1,Resonate Entertainment,1,0,0,8527,6.8
818,Infiesto,"Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work.","Crime, Drama, Thriller",Mature Audiences,96,2023-01-01,Patxi Amezcua,"Isak Férriz, Iria del Río, Antonio Buíl",Spain,0,Vaca Films,0,0,0,3955,5.6
819,Your Place or Mine,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,"Comedy, Romance",Parental Guidance,111,2023-01-01,Aline Brosh McKenna,"Reese Witherspoon, Ashton Kutcher, Zoe Chao",United States,0,Aggregate Films,1,0,0,35596,5.7
820,Unlocked,A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.,"Action, Thriller",Mature Audiences,117,2017-01-01,Kim Tae-joon,"Noomi Rapace, Orlando Bloom, Toni Collette",Czech Republic,1,Studio N Mizifilm,0,0,0,37689,6.3
821,The Strays,A woman's meticulously-crafted life of privilege unravels when two strangers show up in her quaint suburban town.,"Drama, Thriller",Mature Audiences,100,2023-01-01,Nathaniel Martello-White,"Ashley Madekwe, Bukky Bakray, Jorden Myrie",United Kingdom,0,Air Street Films,1,0,0,10792,4.8
