,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
86,Gaga: Five Foot Two,This documentary goes behind the scenes with pop provocateur Lady Gaga as she releases a bold new album and prepares for her Super Bowl halftime show.,"Documentary, Music",Mature Audiences,100,2017-01-01,Chris Moukarbel,"Sandra Amador, Michael Bearden, Tony Bennett",United States,0,Live Nation Productions,1,4,1,13472,7.0
87,Long Shot,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks ...","Comedy, Romance",Mature Audiences,40,2017-01-01,Jacob LaMendola,"Charlize Theron, Seth Rogen, June Diane Raphael",United States,1,Hayden5,0,5,13,117062,6.8
88,The Death and Life of Marsha P. Johnson,"Victoria Cruz investigates the mysterious 1992 death of black gay rights activist and Stonewall veteran, Marsha P. Johnson. Using archival interviews with Johnson, and new interviews with Johnson's family, friends and fellow activ...","Documentary, Biography",Mature Audiences,105,2017-01-01,David France,"Kurt Wolfe, Sue Yacka, Catherine Shugrue Dos Santos",Greece,1,Public Square Films,0,4,5,3131,7.2
89,Kingdom of Us,A father's suicide sends a family of eight on a journey through childhood memories and treacherous emotional waters in this poignant documentary.,"Documentary, Drama",Not Rated,109,2017-01-01,Lucy Cohen,"Jamie-Jodie Shanks, Kacie-Kimie Shanks, Lorie-Lanie Shanks",United Kingdom,0,No Production Company Listed,1,1,2,960,6.9
90,One of Us,"Penetrating the insular world of New York's Hasidic community, focusing on three individuals driven to break away despite threats of retaliation.",Documentary,Not Rated,95,2017-01-01,Heidi Ewing,"Etty, Chani Getter, Ari Hershkowitz",United States,0,Loki Films,0,2,5,6988,7.0
91,Joan Didion: The Center Will Not Hold,"Literary icon Joan Didion reflects on her remarkable career and personal struggles in this intimate documentary directed by her nephew, Griffin Dunne.","Documentary, Biography",Not Rated,94,2017-01-01,Griffin Dunne,"Joan Didion, Griffin Dunne, Anna Wintour",United States,0,No Production Company Listed,1,0,4,2963,7.5
92,Jim & Andy: The Great Beyond,A behind-the-scenes look at how Jim Carrey adopted the persona of idiosyncratic comedian Andy Kaufman on the set of Man on the Moon (1999).,Documentary,Mature Audiences,94,2017-01-01,Chris Smith,"Jim Carrey, Danny DeVito, Milos Forman",United States,1,VICE Films,0,3,7,27387,7.6
93,Saving Capitalism,"SAVING CAPITALISM is a documentary film that follows former Secretary of Labor and Professor, Robert Reich, as he takes his book and his views to the heart of conservative America to speak about our economic system and present big...",Documentary,Parental Guidance,73,2017-01-01,Jacob Kornbluth,"Robert Reich, Darvin Bentlage, Annie Presley",United States,0,No Production Company Listed,1,0,1,3350,6.8
94,Cuba and the Cameraman,"Life in Cuba for three struggling families over the course of 45 years, from the cautious optimism of the early 1970s to the harrowing 1990s after the fall of the Soviet Union and the 2016 death of Fidel Castro.",Documentary,Not Rated,114,2017-01-01,Jon Alpert,No Cast Available,United States,0,No Production Company Listed,1,0,1,5367,8.2
95,Voyeur,"Journalism icon Gay Talese reports on Gerald Foos, the owner of a Colorado motel, who allegedly secretly watched his guests with the aid of specially designed ceiling vents, peering down from an ""observation platform"" he built in ...","Documentary, Crime",Mature Audiences,96,2017-01-01,Myles Kane,"Gay Talese, Gerald Foos, Nan Talese",United States,0,Brooklyn Underground Films,0,0,0,6710,6.1
96,A Very Murray Christmas,Bill Murray worries no one will show up to his TV show due to a terrible snowstorm in New York City.,"Comedy, Music, Musical",Mature Audiences,56,2015-01-01,Sofia Coppola,"Bill Murray, Paul Shaffer, Michael Cera",United States,0,American Zoetrope,0,0,8,15994,5.5
97,"Michael Bolton's Big, Sexy Valentine's Day Special","After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.","Comedy, Music, Musical",Mature Audiences,54,2017-01-01,Scott Aukerman,"Michael Bolton, Sarah Shahi, Adam Scott",United States,0,No Production Company Listed,1,0,1,2240,6.8
