,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot
775,Scrooge: A Christmas Carol,"A supernatural, time-travelling, musical adaptation of Charles Dickens's cult Christmas story.","Animation, Adventure, Comedy",General Audiences,96,2022-11-18,Stephen Donnelly,"Luke Evans, Olivia Colman, Jessie Buckley",United Kingdom,1,Timeless Films,1,0,2,6376.0,6.2,"A supernatural, time-travelling, musical adaptation of Charles Dickens's cult Christmas story."
776,Guillermo del Toro's Pinocchio,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Animation, Drama, Family",Parental Guidance,117,2022-10-15,Guillermo del Toro,"Ewan McGregor, David Bradley, Gregory Mann",United States,1,Netflix,1,74,124,103572.0,7.6,"A dark, twisted retelling of the famous Carlo Collodi fairy tale about the wooden puppet who dreams of becoming a real boy. When Pinocchio comes to life, he turns out not to be that nice of a boy, creating mischief and playing mean tricks. He eventually learns a few lessons."
777,The Big 4,Tells the story of an elite assassin that is targeted by murderous gangsters after sparing a girl's life during a massacre.,"Action, Comedy, Crime",Mature Audiences,141,2022-12-15,Timo Tjahjanto,"Abimana Aryasatya, Putri Marino, Lutesha",Indonesia,0,Frontier Pictures,1,2,5,3138.0,6.1,Tells the story of an elite assassin that is targeted by murderous gangsters after sparing a girl's life during a massacre.
778,"Bardo, False Chronicle of a Handful of Truths","An acclaimed journalist-turned-documentarian goes on an oneiric introspective journey to reconcile with the past, the present and his Mexican identity.","Comedy, Drama",Mature Audiences,174,2022-09-01,Alejandro G. Iñárritu,"Daniel Giménez Cacho, Griselda Siciliani, Ximena Lamadrid",Mexico,0,M Productions,1,9,48,13714.0,6.7,"An acclaimed journalist-turned-documentarian goes on an oneiric introspective journey to reconcile with the past, the present and his Mexican identity."
779,White Noise,An architect's desire to speak with his wife from beyond the grave becomes an obsession with supernatural repercussions.,"Drama, Horror, Mystery",Parental Guidance,136,2022-08-31,Noah Baumbach,"Michael Keaton, Deborah Kara Unger, Ian McNeice",United Kingdom,1,NBGG Pictures,1,1,2,50029.0,5.5,"The car of successful author Anna Rivers is found disabled next to the river, the thought being that she accidentally fell into the river while trying to change a flat tire. Her dead body is found upstream several weeks later, consistent with the accidental death theory. Based on incidents around him, her grieving husband, architect Jonathan Rivers, decides several months later to visit with Raymond Price, who approached John prior to Anna's body being found with news that she was trying to contact him from beyond. At that time, John was skeptical of Raymond's claims of electronic voice phenomena (EVP): that he is contacted from the beyond through electronic means - radio, television - which he is able to record. Along with Sarah Tate, another of Raymond's ""clients"" whose fiancé passed away, John becomes obsessed with EVP as he gets more and more audio and video messages, however fuzzy, from Anna from beyond. That obsession takes a slight change in focus when John believes that Anna is trying to pass along information to help others. But the nature of those messages and their connection to Raymond in combination with John learning that not all good comes through EVP leads to the possible belief that he dabbling in EVP in and of itself may be dangerous and the cause of those potentially deadly issues in which he is supposed to assist in helping. John has to decide whether or not to continue with his work in EVP, not continuing which means that he may actually prevent bad things from happening, and continuing which means that he gets his much wanted connection with Anna."
780,Three Songs for Benazir,"Even as Shaista's love for Benazir is palpable, the choices he must make to build a life with her have profound consequences.","Documentary, Short",Mature Audiences,22,2022-01-24,Elizabeth Mirzaei,No Cast Available,United States,0,Mirzaei Films,0,14,9,2728.0,6.3,"The documentary film features Shaista and Benazir. The couple is newly married and lives in a camp for displaced people in Kabul. Shaista struggles to manage his ambitions of being the first from his tribe to join the Afghan National Army with the responsibilities of having a family. Even if Shaista's love for Benazir is evident, the decisions he must make to build a life with her have far-reaching implications."
781,The Tinder Swindler,"Posing as a wealthy, jet-setting diamond mogul, he wooed women online, then conned them out of millions of dollars. Now some victims plan for payback.","Documentary, Crime",Mature Audiences,114,2022-02-02,Felicity Morris,"Simon Leviev, Cecilie Fjellhøy, Karan Pugal",United Kingdom,0,Raw TV,0,3,13,69656.0,7.1,"Posing as a wealthy, jet-setting diamond mogul, he wooed women online, then conned them out of millions of dollars. Now some victims plan for payback."
782,Downfall: The Case Against Boeing,"Examining the months since the tragedies, which caused global panic in March 2019 after two new aircrafts crashed within five months, killing 346 people.",Documentary,Parental Guidance,89,2022-02-18,Rory Kennedy,"Donald Trump, Maria Bartiromo, Kevin Carney",United States,0,Imagine Documentaries,0,0,3,12619.0,7.4,"Outline the tragedy that occurred between March 2019 and December 2020, when two Boeing planes mysteriously crashed, causing the deaths of 346 people. As a result, the Boeing 737 MAX passenger airliner was grounded. While the U.S. Federal Aviation Administration resisted grounding the planes initially, they quickly discovered evidence of similar accidents, and by March 18th, 2019, all 387 aircraft were grounded."
783,Surviving Paradise: A Family Tale,"As the Kalahari Desert faces a worsening dry season, prides, packs and herds of all kinds must rely on the power of family to survive.",Documentary,Parental Guidance,78,2022-03-03,Renée Godfrey,Regé-Jean Page,United Kingdom,0,Freeborne Media,0,0,0,800.0,7.5,"Okavango Delta, a vast oasis, isolated from the rest of the world by unforgiving desert. It's also a refuge, built and maintained daily by its inhabitants; in return, it caters for their every need. Big cats may appear to reign here, but in reality, the fate of every creature, great and small, is intertwined."
784,Trust No One: The Hunt for the Crypto King,A group of investors turned sleuths as they try to unlock the suspicious death of cryptocurrency multimillionaire Gerry Cotten and the missing $250 million they believe he stole from them.,"Documentary, Crime",Mature Audiences,90,2022-03-30,Luke Sewell,No Cast Available,United Kingdom,0,Minnow Films,0,0,0,5662.0,6.3,A group of investors turned sleuths as they try to unlock the suspicious death of cryptocurrency multimillionaire Gerry Cotten and the missing $250 million they believe he stole from them.
785,Return to Space,"Offering rare inside access to NASA and SpaceX, this is the thrilling story of the nearly 20 year journey to send American astronauts back to space aboard U.S. rockets, from filmmakers Elizabeth Chai Vasarhelyi and Jimmy Chin.",Documentary,Mature Audiences,128,2022-04-07,Jimmy Chin,"Elon Musk, Bob Behnken, Douglas Hurley",United States,0,Little Monster Films,0,0,2,5348.0,7.3,"For the first time, Oscar-winning directors Elizabeth Chai Vasarhelyi and Jimmy Chin (""Free Solo,"" ""The Rescue"") point their lenses to the sky, covering the inspirational rise of SpaceX and Elon Musk's two-decade effort to resurrect America's space travel ambitions. Offering rare access inside the first crewed mission launched from U.S. soil since the retirement of the Space Shuttle in 2011, this is an intimate portrait of the engineers and astronauts chosen for the historic moment. Following NASA veterans Bob Behnken, Doug Hurley, and their families in the leadup to launch, RETURN TO SPACE brings viewers along for their thrilling ride to the International Space Station, and into mission control with Musk and the SpaceX team as they bring them back to Earth for a dramatic splashdown return."
786,White Hot: The Rise & Fall of Abercrombie & Fitch,"Abercrombie and Fitch conquered malls in the late '90s and early '00s with gorgeous models, pulsing dance beats and a fierce scent. But their ""all-American"" image shattered as exclusionary marketing and hiring practices came to li...",Documentary,Mature Audiences,88,2022-04-19,Alison Klayman,"Benjamin O'Keefe, Bobby Blanski, Ryan Daharsh",United States,0,AliKlay Productions,1,0,1,4986.0,5.8,"Abercrombie and Fitch conquered malls in the late '90s and early '00s with gorgeous models, pulsing dance beats and a fierce scent. But their ""all-American"" image shattered as exclusionary marketing and hiring practices came to li..."
787,The Mystery of Marilyn Monroe: The Unheard Tapes,Explores the mystery surrounding the death of movie icon Marilyn Monroe through previously unheard interviews with her inner circle.,"Documentary, Biography",Mature Audiences,101,2022-04-27,Emma Cooper,"Lauren Bacall, Gladys Baker, Ray Bull",United States,0,No Production Company Listed,1,0,2,5332.0,6.2,Explores the mystery surrounding the death of movie icon Marilyn Monroe through previously unheard interviews with her inner circle.
788,Our Father,"After a woman's at-home DNA test reveals multiple half-siblings, she discovers a shocking scheme involving donor sperm and a popular fertility doctor.","Documentary, Crime",Mature Audiences,97,2022-05-11,Lucie Jourdan,"Jacoba Ballard, Julie Harmon, Matt White",United States,0,Blumhouse Productions,0,0,1,13743.0,6.6,"After a woman's at-home DNA test reveals multiple half-siblings, she discovers a shocking scheme involving donor sperm and a popular fertility doctor."
789,The Martha Mitchell Effect,The Cabinet wife who spoke out during Watergate and the Nixon administration's campaign to gaslight her into silence.,"Documentary, Short, History",Parental Guidance,40,2022-06-17,Anne Alvergue,"Martha Mitchell, Dwight Chapin, Connie Chung",United States,0,Foothill Productions,0,0,3,2650.0,6.6,The Cabinet wife who spoke out during Watergate and the Nixon administration's campaign to gaslight her into silence.
790,Girl in the Picture,A young mother's mysterious death and her son's subsequent kidnapping blow open a decades-long mystery about the woman's true identity and the murderous federal fugitive at the center of it all.,"Documentary, Crime, Mystery",Mature Audiences,101,2022-07-06,Skye Borgman,"Karen Parsley, Charles Engles, Merle Bean",United States,0,All3Media America,0,0,0,20001.0,7.2,A young mother's mysterious death and her son's subsequent kidnapping blow open a decades-long mystery about the woman's true identity and the murderous federal fugitive at the center of it all.
791,Stay on Board: The Leo Baker Story,"Follows celebrated competitive skating icon Leo Baker as they try to make space for themselves in the gendered world of pro sports and build a more inclusive skate culture, which leads them to doing the punkest thing imaginable.","Documentary, Sport",Mature Audiences,72,2022-08-11,Nicola Marsh,"Leo Baker, Melissa Bueno-Woerner, Alexis Sablone",United States,0,GLAAD,0,1,2,413.0,6.7,"Follows celebrated competitive skating icon Leo Baker as they try to make space for themselves in the gendered world of pro sports and build a more inclusive skate culture, which leads them to doing the punkest thing imaginable."
792,Untold: The Rise and Fall of AND1,"Inspired by New York City streetball, influential brand AND1 turned local legends on the court into international icons. So why did it come to an end?","Documentary, History, Sport",Mature Audiences,68,2022-08-23,Kevin Wilson Jr.,"Rafer Alston, Tom Austin, Seth Berger",United States,0,The Players' Tribune,0,0,0,2565.0,6.8,"Inspired by New York City streetball, influential brand AND1 turned local legends on the court into international icons. So why did it come to an end?"
793,Untold: Operation Flagrant Foul,"Years after serving time for betting on games he officiated, former NBA referee Tim Donaghy revisits the scandal that shook up the league.","Documentary, Crime, History",Mature Audiences,76,2022-08-30,David Terry Fine,"Tim Donaghy, Matt Maltepes",United States,0,Players' Tribune,0,0,0,2188.0,6.8,"Years after serving time for betting on games he officiated, former NBA referee Tim Donaghy revisits the scandal that shook up the league."
794,Into the Deep,"When journalist Kim Wall disappears after boarding inventor Peter Madsen's submarine, his changing story about her fate masks a terrifying truth.","Documentary, Biography, Crime",Mature Audiences,90,2022-09-30,Emma Sullivan,Peter Madsen,Denmark,0,Netflix,0,0,1,3489.0,6.5,"In 2016, a young Australian filmmaker began documenting amateur inventor Peter Madsen. One year in, Madsen brutally murdered Kim Wall aboard his homemade submarine. The film is an unprecedented revelation of a killer and the journey his young helpers take as they reckon with their own complicity and prepare to testify."
795,Descendant,"Follows descendants of the survivors from the Clotilda, the last ship that carried enslaved Africans to the United States, as they reclaim their story.","Documentary, History",Parental Guidance,109,2022-01-01,Margaret Brown,"Theodore Arthur, Gary Autrey, Chris Davis",United States,0,Participant,1,7,22,1250.0,7.1,"Follows members of Africatown, a small community in Alabama, as they share their personal stories and community history as descendants of the Clotilda, the last known slave ship to illegally transport human beings as cargo from Africa to America. The ship's existence, a centuries-old open secret, is confirmed by a team of marine archeologists."
796,Capturing the Killer Nurse,This documentary reveals how investigators proved ICU nurse Charles Cullen was killing patients — and how close he came to getting away with murder.,"Documentary, Crime",Mature Audiences,94,2022-11-11,Tim Travers Hawkins,"Charles Cullen, Amy Loughren, Donna Hargreaves",United Kingdom,0,Sandpaper Films,1,0,0,2732.0,6.4,This documentary reveals how investigators proved ICU nurse Charles Cullen was killing patients — and how close he came to getting away with murder.
797,Ghislaine Maxwell: Filthy Rich,"From filmmakers of Jeffrey Epstein: Filthy Rich, this film goes beyond the headlines of the Ghislaine Maxwell case to tell the story of Epstein's mystery accomplice, illuminating how her class and privilege concealed her predatory...","Documentary, Crime",Mature Audiences,101,2022-11-25,Maiken Baird,"Ghislaine Maxwell, Jeffrey Epstein, Annie Farmer",United States,0,RadicalMedia,1,0,0,2331.0,6.0,"From filmmakers of Jeffrey Epstein: Filthy Rich, this film goes beyond the headlines of the Ghislaine Maxwell case to tell the story of Epstein's mystery accomplice, illuminating how her class and privilege concealed her predatory..."
798,"""Sr.""","Follow the tender but appropriately irreverent account of the life and career of Robert Downey Sr., the fearless and visionary American director who set the standard for countercultural comedy in the 1960s and 1970s.","Documentary, Biography",Mature Audiences,89,2022-12-02,Chris Smith,"Robert Downey Sr., Zaina Ali, Paul Thomas Anderson",United States,0,Team Downey,0,3,6,3139.0,7.2,"Follow the tender but appropriately irreverent account of the life and career of Robert Downey Sr., the fearless and visionary American director who set the standard for countercultural comedy in the 1960s and 1970s."
799,The Elephant Whisperers,"Bomman and Bellie, a couple in South India, devote their lives to caring for an orphaned baby elephant named Raghu, forging a family like no other that tests the barrier between the human and the animal world.","Documentary, Short",Parental Guidance,39,2022-12-08,Kartiki Gonsalves,"Bellie, Bomman",India,0,Sikhya Entertainment,0,1,3,8721.0,7.5,"Bomman and Bellie, a couple in South India, devote their lives to caring for an orphaned baby elephant named Raghu, forging a family like no other that tests the barrier between the human and the animal world."
800,The House,"After the town takes away their daughter's college scholarship, a couple start an illegal casino in their friend's house to make back the money.","Comedy, Crime",Mature Audiences,97,2017-06-30,Emma de Swaef,"Will Ferrell, Amy Poehler, Ryan Simpkins",United States,0,Nexus Studios,1,1,0,45919.0,5.6,"Scott and Kate Johansson are elated to discover their daughter Alex has been accepted into bucknell university. However, the town college scholarship program refuses to fund any more tuitions. Out of options, the couple makes an executive decision to open an underground illegal casino in their friend Frank's basement. Unfortunately, the authorities soon become suspicious. Now what?!"
801,Cat Burglar,Interactive Tex Avery-inspired cartoon where the viewer answers questions with a scenario about a guard dog named Peanut protecting a priceless work of art and a cat burglar named Rowdy trying to steal it from the art museum but e...,"Animation, Short, Comedy",Mature Audiences,15,2022-02-22,James Bowman,"Alan Lee, James Adomian, Trevor Devall",United Kingdom,1,Netflix,1,1,3,589.0,6.6,Interactive Tex Avery-inspired cartoon where the viewer answers questions with a scenario about a guard dog named Peanut protecting a priceless work of art and a cat burglar named Rowdy trying to steal it from the art museum but each cartoon is different.
802,Entergalactic,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life.","Animation, Comedy, Music",Mature Audiences,92,2022-09-30,Fletcher Moules,"Kid Cudi, Jessica Williams, Laura Harrier",United Kingdom,1,Khalabo Ink Society,1,1,6,13141.0,7.4,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
803,The Pale Blue Eye,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar All...","Crime, Horror, Mystery",Mature Audiences,130,2022-12-23,Scott Cooper,"Christian Bale, Harry Melling, Simon McBurney",United States,0,Cross Creek Pictures,1,1,1,110780.0,6.6,"At West Point Academy in 1830, the calm of an October evening is shattered by the discovery of a young cadet's body swinging from a rope just off the parade grounds. An apparent suicide is not unheard of in a harsh regimen like West Point's, but the next morning, an even greater horror comes to light. Someone has stolen into the room where the body lay and removed the heart."
804,Dog Gone,Based on the true story of a father and son who repair their fractured relationship during a forced hike of the Appalachian trail to find their beloved lost dog.,"Biography, Drama, Family",Parental Guidance,95,2023-01-13,Stephen Herek,"Rob Lowe, Johnny Berchtold, Kimberly Williams-Paisley",United States,0,Blackjack Films,1,0,0,5459.0,6.0,Based on the true story of a father and son who repair their fractured relationship during a forced hike of the Appalachian trail to find their beloved lost dog.
805,Jung_E,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.","Action, Adventure, Drama",Mature Audiences,99,2023-01-20,Yeon Sang-ho,"Kang Soo-youn, Kim Hyun-joo, Ryu Kyung-Soo",South Korea,0,Climax Studio,0,0,0,9538.0,5.5,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary."
806,Mission Majnu,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","Action, Drama, History",Mature Audiences,129,2023-01-20,Shantanu Bagchi,"Sidharth Malhotra, Rashmika Mandanna, Parmeet Sethi",India,0,RSVP Movies,1,3,3,42195.0,7.1,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan."
807,The Price of Family,"When Alessandra and Emilio move to the city leaving their parents Carlo and Anna alone, life changes for everyone. In a few months the kids forget about their parents: a few phone calls, missed birthdays, missed funerals. But the ...",Comedy,Mature Audiences,90,2023-01-25,Giovanni Bognetti,"Christian De Sica, Angela Finocchiaro, Dharma Mangia Woods",Italy,0,Sony,0,0,0,1300.0,5.8,"When Alessandra and Emilio move to the city leaving their parents Carlo and Anna alone, life changes for everyone. In a few months the kids forget about their parents: a few phone calls, missed birthdays, missed funerals. But the ..."
808,You People,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences.","Comedy, Romance",Mature Audiences,118,2023-01-20,Kenya Barris,"Jonah Hill, Lauren London, Eddie Murphy",United States,0,Khalabo Ink Society,1,0,0,58033.0,5.5,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences."
809,True Spirit,"The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo, non-stop around the world.","Adventure, Biography, Drama",Parental Guidance,109,2023-01-26,Sarah Spillane,"Alyla Browne, Teagan Croft, Cliff Curtis",Australia,1,Resonate Entertainment,1,0,0,8294.0,6.8,"The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo, non-stop around the world."
810,Infiesto,"Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work.","Crime, Drama, Thriller",Mature Audiences,96,2023-02-03,Patxi Amezcua,"Isak Férriz, Iria del Río, Antonio Buíl",Spain,0,Vaca Films,0,0,0,3704.0,5.5,"Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work."
811,Your Place or Mine,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,"Comedy, Romance",Parental Guidance,111,2023-02-10,Aline Brosh McKenna,"Reese Witherspoon, Ashton Kutcher, Zoe Chao",United States,0,Aggregate Films,1,0,0,33897.0,5.7,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.
812,Unlocked,A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.,"Action, Thriller",Mature Audiences,117,2017-05-05,Kim Tae-joon,"Noomi Rapace, Orlando Bloom, Toni Collette",Czech Republic,1,Studio N Mizifilm,0,0,0,37420.0,6.3,A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.
813,The Strays,A woman's meticulously-crafted life of privilege unravels when two strangers show up in her quaint suburban town.,"Drama, Thriller",Mature Audiences,100,2023-02-22,Nathaniel Martello-White,"Ashley Madekwe, Bukky Bakray, Jorden Myrie",United Kingdom,0,Air Street Films,1,0,0,10208.0,4.8,A woman's meticulously-crafted life of privilege unravels when two strangers show up in her quaint suburban town.
814,We Have a Ghost,"Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest's past, they become a target of the CIA.","Adventure, Comedy, Family",Parental Guidance,127,2023-02-24,Christopher Landon,"Jahi Di'Allo Winston, David Harbour, Anthony Mackie",United States,0,Temple Hill Entertainment,1,0,0,27908.0,6.1,"Ernest the ghost, discovered by the homeowner who named him that because the apparation looks like Ernest Borgnine. The homeowner Frank, beings filming his ghost and posting it for the world to see on social media. Ernest becomes a viral sensation. Frank enlists the help of his high school son Kevin to help be a part of a series of dinners held in the house to cash in on the ghost's popularity. Things take a turn when Ernest and Kevin both go missing and become targets of the CIA."
815,Have a Nice Day!,"A retired radio host bags groceries to earn money to attend his former employer's anniversary party, where he hopes to reunite with the love of his life.","Comedy, Drama",Not Rated,93,2023-03-10,Yibrán Asuad,"Andrea Chaparro, Eduardo de la Peña, Álvaro Guerrero",Mexico,0,No Production Company Listed,1,0,0,213.0,5.2,"A retired radio host bags groceries to earn money to attend his former employer's anniversary party, where he hopes to reunite with the love of his life."
816,Luther: The Fallen Sun,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.,"Crime, Drama, Mystery",Mature Audiences,129,2023-02-24,Jamie Payne,"Idris Elba, Cynthia Erivo, Andy Serkis",United Kingdom,1,BBC Film,1,0,0,56789.0,6.4,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.
817,The Magician's Elephant,An orphaned boy is told by a fortune teller that an elephant will help him find his lost sister.,"Animation, Adventure, Comedy",Parental Guidance,100,2023-03-17,Wendy Rogers,"Noah Jupe, Mandy Patinkin, Brian Tyree Henry",United States,1,Netflix,0,0,0,4616.0,6.5,"follows Peter, who is searching for his long-lost sister. When he crosses paths with a fortune teller in the market square, he want to know, is his sister still alive? To get the answer, he must find a mysterious elephant and the magician who will conjure it, setting Peter off on a journey to complete three seemingly impossible tasks that will change the face of his town."
818,Kill Boksoon,A single mother who is a renowned hired killer finds it difficult to achieve a balance between her personal and work life.,"Action, Thriller",Mature Audiences,137,2023-02-18,Byun Sung-hyun,"Jeon Do-yeon, Esom, Elyse Dinh",South Korea,0,See At Film,0,0,0,9649.0,6.6,A single mother who is a renowned hired killer finds it difficult to achieve a balance between her personal and work life.
819,Murder Mystery 2,"Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja, is kidnapped at his own lavish wedding.","Action, Comedy, Crime",Parental Guidance,89,2023-03-31,Jeremy Garelick,"Adam Sandler, Jennifer Aniston, Mark Strong",United States,0,Happy Madison Productions,1,1,0,59349.0,5.7,"Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja, is kidnapped at his own lavish wedding."
820,Chupa,"While visiting family in Mexico, teenage Alex gains an unlikely companion when he discovers a young chupacabra hiding in his grandpa's shed. To save the mythical creature, Alex and his cousins must embark on the adventure of a lif...","Action, Adventure, Drama",Parental Guidance,95,2023-04-07,Jonás Cuarón,"Demián Bichir, Christian Slater, Evan Whitten",United States,1,26th Street Pictures,0,0,0,6230.0,5.5,"On a visit to his grandfather Chava and two cousins in Mexico, Alex discovers his family, his roots, and his connection to a special creature. 13 years old Alex, is a little lonely and lost due to the death of his father and is not enthusiastic about going to Mexico to spend a week with Chava (his father's dad) but once he's there he's immediately drawn into the lively antics of his cousins, Memo and Luna. Alex quickly becomes close to Chava, his only connection to his father. A city boy in the country-Chava lives on a farm-Alex is uncomfortable at first, but he becomes intrigued by a mysterious creature who allegedly comes onto the property and is lulled to complacency by his grandfather's music box. After Alex learns more about the creature and other animals-including humans-losing their habitat because of the mining taking place around their land, he and his family leave the farm to go on a special adventure."
821,A Tourist's Guide to Love,"An executive goes through an unexpected breakup, then accepting an assignment to go undercover and learn about the tourist industry in Vietnam.","Adventure, Comedy, Romance",Parental Guidance,96,2023-04-21,Steven K. Tsuchida,"Rachael Leigh Cook, Scott Ly, Ben Feldman",United States,0,Muse Entertainment,1,0,0,5390.0,5.7,"An executive goes through an unexpected breakup, then accepting an assignment to go undercover and learn about the tourist industry in Vietnam."
822,The Mother,"While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.","Action, Thriller",Mature Audiences,118,2023-05-12,Niki Caro,"Jennifer Lopez, Lucy Paez, Omari Hardwick",United States,0,Nuyorican Productions,1,0,0,40118.0,5.6,"While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life."
823,Fanfic,Two high school students form an intense connection as they navigate the challenges of discovering and expressing their truest selves.,Drama,Mature Audiences,95,2023-05-17,Marta Karwowska,"Alin Szewczyk, Jan Cieciara, Dobromir Dymecki",Poland,0,Orphan Studio,0,0,0,810.0,,Two high school students form an intense connection as they navigate the challenges of discovering and expressing their truest selves.
824,Blood & Gold,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","Action, Adventure, Family",Parental Guidance,100,2023-04-21,Peter Thorwarth,"Daniel Radcliffe, Emma Watson, Rupert Grint",United Kingdom,1,No Production Company Listed,1,9,39,571577.0,7.6,"During Harry Potter's sixth year at Hogwarts, he finds a book that once belonged to the mysterious Half-Blood Prince that earns him the respect of his new Potions professor Horace Slughorn. In addition, Dumbledore must prepare Harry for the ultimate final confrontation by finding out the secret behind Voldemort's power. Meanwhile, a hidden enemy waits in the shadows to carry out a mission given to him by the Dark Lord."
825,Black Clover: Sword of the Wizard King,"In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King,"" to overcome adversity, prove his power, and keep his oath with his friends.","Animation, Action, Adventure",Mature Audiences,119,2023-06-16,Ayataka Tanemura,"Bryn Apprill, Tia Lynn Ballard, Steve Blum",Japan,0,Pierrot,0,0,0,6209.0,7.4,"In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King,"" to overcome adversity, prove his power, and keep his oath with his friends."
826,The Perfect Find,"After a high-profile firing, Jenna's fashion career comeback hits a snag when she falls for a charming, much younger coworker - who happens to be her boss's son. As sparks fly, Jenna must decide if she'll risk it all on a secret r...","Comedy, Drama, Romance",Mature Audiences,99,2023-06-14,Numa Perrier,"Gabrielle Union, Keith Powers, Gina Torres",United States,0,AGC Studios,1,1,0,2330.0,5.2,"After a high-profile firing, Jenna's fashion career comeback hits a snag when she falls for a charming, much younger coworker - who happens to be her boss's son. As sparks fly, Jenna must decide if she'll risk it all on a secret r..."
827,Nimona,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Animation, Action, Adventure",Parental Guidance,99,2023-06-14,Nick Bruno,"Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang",United States,0,Annapurna Pictures,0,0,0,24150.0,7.6,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
828,The Out-Laws,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.","Action, Comedy, Crime",Mature Audiences,95,2023-07-07,Tyler Spindel,"Adam Devine, Pierce Brosnan, Ellen Barkin",United States,0,Happy Madison Productions,0,0,0,22052.0,5.4,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws."
829,Bird Box Barcelona,"After an entity of mysterious origin annihilates the world's population causing those who observe it to take their lives, Sebastián and his daughter begin their own great adventure of survival in Barcelona.","Horror, Mystery, Sci-Fi",Mature Audiences,112,2023-07-14,Álex Pastor,"Mario Casas, Georgina Campbell, Diego Calva",Spain,0,Nostromo Pictures,1,0,0,18036.0,5.3,"After a mysterious force decimates the world's population by causing all who see it to take their lives, Sebastian and his young daughter Anna must navigate their own journey of survival through the desolate streets of Barcelona. But as they form an uneasy alliance with other survivors and make their way toward a safe haven, a threat more sinister than the unseen creatures grows."
830,The (Almost) Legends,A colorful Mexican town. Two half brothers. Romeo and Preciado meet again to honor their dad's memory in a car rally full of adrenaline and banda music.,"Comedy, Music",Mature Audiences,96,2023-07-13,Ricardo Castro Velazquez,"Benny Emmanuel, Harold Azuara, Nora Velázquez",Mexico,0,Alebrije Cine y Video,0,0,0,263.0,6.3,A colorful Mexican town. Two half brothers. Romeo and Preciado meet again to honor their dad's memory in a car rally full of adrenaline and banda music.
